id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,persentase_tempat_umum,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,30,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,37,PERSEN,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA,19,PERSEN,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,100,PERSEN,2019
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT,100,PERSEN,2019
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,TEMPAT IBADAH,40,PERSEN,2019
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,PASAR,8,PERSEN,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SD,60,PERSEN,2019
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMP,58,PERSEN,2019
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SMA,71,PERSEN,2019
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PUSKESMAS,100,PERSEN,2019
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH SAKIT,100,PERSEN,2019
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TEMPAT IBADAH,0,PERSEN,2019
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PASAR,0,PERSEN,2019
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SD,68,PERSEN,2019
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMP,68,PERSEN,2019
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SMA,72,PERSEN,2019
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PUSKESMAS,79,PERSEN,2019
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH SAKIT,100,PERSEN,2019
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TEMPAT IBADAH,67,PERSEN,2019
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PASAR,61,PERSEN,2019
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SD,53,PERSEN,2019
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMP,48,PERSEN,2019
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SMA,48,PERSEN,2019
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PUSKESMAS,100,PERSEN,2019
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH SAKIT,100,PERSEN,2019
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TEMPAT IBADAH,44,PERSEN,2019
