id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,jumlah_tpm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA BOGA,623,UNIT,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH MAKAN/RESTORAN,736,UNIT,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,DEPOT AIR MINUM (DAM),843,UNIT,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,854,UNIT,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA BOGA,427,UNIT,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH MAKAN/RESTORAN,973,UNIT,2019
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEPOT AIR MINUM (DAM),713,UNIT,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,5656,UNIT,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA BOGA,222,UNIT,2019
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH MAKAN/RESTORAN,707,UNIT,2019
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEPOT AIR MINUM (DAM),668,UNIT,2019
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,2648,UNIT,2019
13,32,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA BOGA,331,UNIT,2019
14,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH MAKAN/RESTORAN,1004,UNIT,2019
15,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEPOT AIR MINUM (DAM),1624,UNIT,2019
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,8550,UNIT,2019
17,32,JAWA BARAT,3205,KABUPATEN GARUT,JASA BOGA,19,UNIT,2019
18,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH MAKAN/RESTORAN,219,UNIT,2019
19,32,JAWA BARAT,3205,KABUPATEN GARUT,DEPOT AIR MINUM (DAM),338,UNIT,2019
20,32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,521,UNIT,2019
21,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA BOGA,615,UNIT,2019
22,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH MAKAN/RESTORAN,872,UNIT,2019
23,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEPOT AIR MINUM (DAM),513,UNIT,2019
24,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,7770,UNIT,2019
25,32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA BOGA,58,UNIT,2019
26,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH MAKAN/RESTORAN,146,UNIT,2019
27,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEPOT AIR MINUM (DAM),398,UNIT,2019
28,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1996,UNIT,2019
29,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA BOGA,25,UNIT,2019
30,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH MAKAN/RESTORAN,127,UNIT,2019
