id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,persentase_tpm,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,JASA BOGA,504,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH MAKAN/RESTORAN,100,PERSEN,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,DEPOT AIR MINUM (DAM),1000,PERSEN,2019
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1000,PERSEN,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA BOGA,578,PERSEN,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUMAH MAKAN/RESTORAN,448,PERSEN,2019
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,DEPOT AIR MINUM (DAM),518,PERSEN,2019
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,310,PERSEN,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JASA BOGA,568,PERSEN,2019
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUMAH MAKAN/RESTORAN,716,PERSEN,2019
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,DEPOT AIR MINUM (DAM),698,PERSEN,2019
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,527,PERSEN,2019
13,32,JAWA BARAT,3204,KABUPATEN BANDUNG,JASA BOGA,326,PERSEN,2019
14,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUMAH MAKAN/RESTORAN,370,PERSEN,2019
15,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DEPOT AIR MINUM (DAM),458,PERSEN,2019
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,268,PERSEN,2019
17,32,JAWA BARAT,3205,KABUPATEN GARUT,JASA BOGA,53,PERSEN,2019
18,32,JAWA BARAT,3205,KABUPATEN GARUT,RUMAH MAKAN/RESTORAN,228,PERSEN,2019
19,32,JAWA BARAT,3205,KABUPATEN GARUT,DEPOT AIR MINUM (DAM),284,PERSEN,2019
20,32,JAWA BARAT,3205,KABUPATEN GARUT,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,1111,PERSEN,2019
21,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,JASA BOGA,408,PERSEN,2019
22,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUMAH MAKAN/RESTORAN,597,PERSEN,2019
23,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DEPOT AIR MINUM (DAM),719,PERSEN,2019
24,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,521,PERSEN,2019
25,32,JAWA BARAT,3207,KABUPATEN CIAMIS,JASA BOGA,69,PERSEN,2019
26,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUMAH MAKAN/RESTORAN,62,PERSEN,2019
27,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DEPOT AIR MINUM (DAM),88,PERSEN,2019
28,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MAKANAN JAJANAN/KANTIN/SENTRA MAKANAN JAJANAN,4,PERSEN,2019
29,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,JASA BOGA,640,PERSEN,2019
30,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH MAKAN/RESTORAN,622,PERSEN,2019
31,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DEPOT AIR MINUM (DAM),745,PERSEN,2019
