id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_hamil_kek,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4897,JIWA,2020
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5338,JIWA,2020
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3308,JIWA,2020
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4135,JIWA,2020
5,32,JAWA BARAT,3205,KABUPATEN GARUT,4133,JIWA,2020
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3361,JIWA,2020
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2315,JIWA,2020
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1647,JIWA,2020
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,4696,JIWA,2020
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,894,JIWA,2020
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1738,JIWA,2020
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2402,JIWA,2020
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1421,JIWA,2020
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1353,JIWA,2020
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3297,JIWA,2020
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1371,JIWA,2020
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1196,JIWA,2020
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,534,JIWA,2020
19,32,JAWA BARAT,3271,KOTA BOGOR,1048,JIWA,2020
20,32,JAWA BARAT,3272,KOTA SUKABUMI,588,JIWA,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,1441,JIWA,2020
22,32,JAWA BARAT,3274,KOTA CIREBON,742,JIWA,2020
23,32,JAWA BARAT,3275,KOTA BEKASI,1141,JIWA,2020
24,32,JAWA BARAT,3276,KOTA DEPOK,1419,JIWA,2020
25,32,JAWA BARAT,3277,KOTA CIMAHI,383,JIWA,2020
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,703,JIWA,2020
27,32,JAWA BARAT,3279,KOTA BANJAR,128,JIWA,2020
