hari,tanggal,jumlah_sampling,positif,negatif,invalid,id
Kamis,2021-09-23 00:00:00,1516365,404203,1102627,9535,1
Rabu,2021-09-22 00:00:00,1515503,404148,1101820,9535,2
Selasa,2021-09-21 00:00:00,1514749,404108,1101108,9533,3
Senin,2021-09-20 00:00:00,1514079,404075,1100471,9533,4
Minggu,2021-09-19 00:00:00,1513699,404064,1100102,9533,5
Sabtu,2021-09-18 00:00:00,1513240,404034,1099674,9532,6
Jumat,2021-09-17 00:00:00,1512542,403992,1099020,9530,7
Kamis,2021-09-16 00:00:00,1511872,403925,1098417,9530,8
Rabu,2021-09-15 00:00:00,1511139,403861,1097749,9529,9
Selasa,2021-09-14 00:00:00,1510355,403803,1097023,9529,10
Senin,2021-09-13 00:00:00,1509572,403697,1096346,9529,11
Minggu,2021-09-12 00:00:00,1509239,403659,1096051,9529,12
Sabtu,2021-09-11 00:00:00,1508617,403585,1095503,9529,13
Jumat,2021-09-10 00:00:00,1507677,403422,1094726,9529,14
Kamis,2021-09-09 00:00:00,1506581,403297,1093756,9528,15
Rabu,2021-09-08 00:00:00,1505793,403194,1093073,9526,16
Selasa,2021-09-07 00:00:00,1504843,402974,1092344,9525,17
Senin,2021-09-06 00:00:00,1504290,402899,1091866,9525,18
Minggu,2021-09-05 00:00:00,1503924,402858,1091541,9525,19
Sabtu,2021-09-04 00:00:00,1503372,402773,1091076,9523,20
Jumat,2021-09-03 00:00:00,1502443,402615,1090306,9522,21
Kamis,2021-09-02 00:00:00,1501683,402499,1089663,9521,22
Rabu,2021-09-01 00:00:00,1500914,402346,1089048,9520,23
Selasa,2021-08-31 00:00:00,1499385,402026,1087841,9518,24
Senin,2021-08-30 00:00:00,1498613,401859,1087237,9517,25
Minggu,2021-08-29 00:00:00,1498290,401807,1086967,9516,26
Sabtu,2021-08-28 00:00:00,1497760,401689,1086555,9516,27
Jumat,2021-08-27 00:00:00,1496659,401400,1085746,9513,28
Kamis,2021-08-26 00:00:00,1495668,401188,1084967,9513,29
Rabu,2021-08-25 00:00:00,1494474,400923,1084044,9507,30
Selasa,2021-08-24 00:00:00,1493167,400621,1083043,9503,31
Senin,2021-08-23 00:00:00,1492073,400341,1082232,9500,32
Minggu,2021-08-22 00:00:00,1491891,400304,1082088,9499,33
Sabtu,2021-08-21 00:00:00,1490954,400009,1081446,9499,34
Jumat,2021-08-20 00:00:00,1489635,399624,1080514,9497,35
Kamis,2021-08-19 00:00:00,1488169,399159,1079514,9496,36
Rabu,2021-08-18 00:00:00,1486998,398767,1078740,9491,37
Selasa,2021-08-17 00:00:00,1486634,398675,1078468,9491,38
Senin,2021-08-16 00:00:00,1485486,398319,1077681,9486,39
Minggu,2021-08-15 00:00:00,1485037,398224,1077327,9486,40
Sabtu,2021-08-14 00:00:00,1484026,397788,1076753,9485,41
Jumat,2021-08-13 00:00:00,1482405,397233,1075695,9477,42
Kamis,2021-08-12 00:00:00,1481150,396693,1074985,9472,43
Rabu,2021-08-11 00:00:00,1480402,396416,1074517,9469,44
Selasa,2021-08-10 00:00:00,1478738,395803,1073471,9464,45
Senin,2021-08-09 00:00:00,1477582,395236,1072882,9464,46
Minggu,2021-08-08 00:00:00,1476956,394914,1072578,9464,47
Sabtu,2021-08-07 00:00:00,1475335,394321,1071558,9456,48
Jumat,2021-08-06 00:00:00,1473713,393692,1070568,9453,49
Kamis,2021-08-05 00:00:00,1472445,393066,1069928,9451,50
Rabu,2021-08-04 00:00:00,1469743,391922,1068384,9437,51
Selasa,2021-08-03 00:00:00,1467448,390950,1067062,9436,52
Senin,2021-08-02 00:00:00,1465579,389973,1066172,9434,53
Minggu,2021-08-01 00:00:00,1464497,389471,1065603,9423,54
Sabtu,2021-07-31 00:00:00,1461788,388118,1064254,9416,55
Jumat,2021-07-30 00:00:00,1459606,387035,1063159,9412,56
Kamis,2021-07-29 00:00:00,1456269,385562,1061301,9406,57
Rabu,2021-07-28 00:00:00,1454065,384416,1060254,9395,58
