tanggal,positif,negatif,inconclusive,jumlah_sampel,id
2020-04-25 00:00:00,523,3593,0,4116,1
2020-05-03 00:00:00,280,1765,0,2045,2
2020-05-08 00:00:00,547,1582,0,2129,3
2020-05-15 00:00:00,205,2296,222,2723,4
2020-05-27 00:00:00,211,4361,-49,4523,5
2020-05-30 00:00:00,103,1541,12,1656,6
2020-06-02 00:00:00,1481,28299,352,30132,7
2020-06-07 00:00:00,636,6936,256,7828,8
2020-06-09 00:00:00,19,1063,4,1086,9
2020-06-10 00:00:00,187,1530,2,1719,10
2020-06-13 00:00:00,58,2369,5,2432,11
2020-06-19 00:00:00,143,4484,16,4643,12
2020-06-22 00:00:00,32,928,3,963,13
2020-06-25 00:00:00,65,1159,13,1157,14
2020-06-27 00:00:00,43,902,6,1031,15
2020-06-28 00:00:00,124,9792,9,9925,16
2020-06-29 00:00:00,13,262,5,280,17
2020-06-30 00:00:00,16,205,3,224,18
2020-07-01 00:00:00,53,2340,13,2406,19
2020-07-02 00:00:00,8,162,0,170,20
2020-07-03 00:00:00,22,135,93,250,21
2020-07-04 00:00:00,39,1578,65,1682,22
2020-07-05 00:00:00,4,29,0,33,23
2020-07-07 00:00:00,6,274,3,283,24
2020-07-08 00:00:00,2,4213,86,4301,25
2020-07-09 00:00:00,10,344,1,355,26
2020-07-10 00:00:00,8,324,0,332,27
2020-07-11 00:00:00,7,207,1,215,28
2020-07-12 00:00:00,1057,6004,68,7129,29
2020-07-13 00:00:00,15,3,0,18,30
2020-07-14 00:00:00,71,2986,15,3072,31
2020-07-15 00:00:00,66,1152,46,1264,32
2020-07-16 00:00:00,25,1145,3,1173,33
2020-07-17 00:00:00,32,1742,244,2018,34
2020-07-18 00:00:00,35,1246,9,1290,35
2020-07-19 00:00:00,2,44,1,47,36
2020-07-20 00:00:00,44,490,0,534,37
2020-07-21 00:00:00,52,1511,1,1564,38
2020-07-22 00:00:00,41,1250,1,1292,39
2020-07-23 00:00:00,49,1302,1,1352,40
2020-07-24 00:00:00,117,1176,0,1293,41
2020-07-25 00:00:00,54,1141,1,1196,42
2020-07-26 00:00:00,57,1030,3,1090,43
2020-07-27 00:00:00,19,367,3,389,44
2020-07-28 00:00:00,99,1178,1,1278,45
2020-07-29 00:00:00,74,1205,2,1281,46
2020-07-30 00:00:00,87,2203,0,2290,47
2020-07-31 00:00:00,71,2468,4,2543,48
2020-08-01 00:00:00,12,414,0,426,49
2020-08-02 00:00:00,2015,34475,10,36500,50
2020-08-03 00:00:00,16,505,0,521,51
2020-08-04 00:00:00,69,1627,1,1697,52
2020-08-05 00:00:00,109,2121,4,2234,53
2020-08-06 00:00:00,803,8823,-442,9184,54
2020-08-07 00:00:00,221,1486,7,1714,55
2020-08-08 00:00:00,134,2037,61,2232,56
2020-08-09 00:00:00,131,1556,28,1715,57
2020-08-10 00:00:00,120,2197,4,2321,58
2020-08-11 00:00:00,132,1274,29,1435,59
2020-08-12 00:00:00,127,2636,48,2811,60
2020-08-13 00:00:00,250,2128,57,2435,61
2020-08-14 00:00:00,158,1837,52,2047,62
2020-08-15 00:00:00,204,1563,39,1806,63
2020-08-16 00:00:00,123,1134,12,1269,64
2020-08-17 00:00:00,46,538,6,590,65
2020-08-18 00:00:00,77,988,2,1067,66
2020-08-19 00:00:00,209,693,0,902,67
2020-08-20 00:00:00,114,1505,20,1639,68
2020-08-21 00:00:00,67,1014,6,1087,69
2020-08-22 00:00:00,102,1306,6,1414,70
2020-08-23 00:00:00,160,4300,109,4569,71
