perusahaan,jumlah
PT. Hiba Utama (1),998
PT. Hiba Utama (2),923
PT. Big BirdPusaka,592
PT. Sinar Jaya Langgeng Utama,448
PT. Big Bird,254
PT. Panorama Transportasi,221
CV. Pluit Jaya,100
PO. Parahyangan Express,96
PT. Fajar Cemerlang Binakharisma,95
PT. Arion Indonesia Transport,67
PT. Pahala Kencana,66
Perum DAMRI St. Wisata,62
PT. City Trans Utama,60
PT. Destinasi tirta Nusantara,53
PO. Kramat Djati,48
PO. Warga Baru,43
PT. Indo Hasstra,36
PT. Steady Safe,35
PO. Sinar Jaya megah Langgeng,34
PO. Deborah,34
Lain - Lain,891
