jenis_kendaraan,nama_perusahaan,jumlah_unit 
Busway,PT Transportasi Jakarta,905
Angkutan Kota Antar Provinsi (AKAP),Perum PPD,485
Bus Besar,PT Mayasari Bakti,279
Bus Sedang,Koperasi Angkutan Jakarta (Kopaja),253
Bus Sedang,PT Steady Safe,177
Angkutan Perkotaan,Perum Damri,85
Bus Besar,PT Bianglala Metropolitan,49
Angkutan Kota Antar Provinsi (AKAP),PT Eka Sari Lorena Transport,28
Angkutan Kota Antar Provinsi (AKAP),PT BPW Pahala Kencana,15
Bus Besar,PT Mayasari Bakti,135
Bus Sedang,Kopaja,366
Bus Sedang,PT Metromini,313
Bus Sedang,Kopami Jaya,30
Bus Kecil Mikrolet,Kopamilet Jaya,1331
Bus Kecil Mikrolet,Komilet Jaya,1277
Bus Kecil Mikrolet,Kolamas Jaya,649
Bus Kecil Mikrolet,Koperasi Purimas Jaya,507
Bus Kecil Mikrolet,Koperasi Angkutan Umum Budi Luhur,291
Bus Kecil Mikrolet,Pt. Lestarisurya Gema Persada,79
Bus Kecil Mikrolet,Puskopau Halim Perdanakusuma,74
Bus Kecil Mikrolet,Komika Jaya,63
Bus Kecil Mikrolet,PT  Kencana Sakti Transport,35
Bus Kecil Mikrolet,Kojang Jaya,2
APB,Komika Jaya,241
APB,Kolamas Jaya,220
APB,Koperasi Angkutan Umum Budi Luhur,184
APB,Koperasi Purimas Jaya,66
APB,Komilet Jaya,45
APB,Kopamilet Jaya,3
APB,PT Lestarisurya Gemapersada,1
KWK,Koperasi Wahana Kalpika,3374
Roda 3 & Roda 4,Koperasi Kopalija,2114
Roda 3 & Roda 5,Kolamas Jaya,1702
Roda 3 & Roda 6,Koperasi Anggrek Seroja,1068
Roda 3 & Roda 7,Koperasi Bintang Timur Roda Tiga ,762
Roda 3 & Roda 8,PT Lestarisurya Gemapersada,170
Roda 3 & Roda 9,Koperasi Jasa Matahari Utama,71
Roda 3 & Roda 10,Koperasi Angkutan Umum Budi Luhur,60
Roda 3 & Roda 11,Koperasi Jasa Transportasi Nasional (Koptrannas),17
Roda 3 & Roda 12,Koperasi Surya Kencana,16
Roda 3 & Roda 13,Koperasi Bajaj Karya Maju Dki Jakarta (Kobayama DKI Jakarta),11
Roda 3 & Roda 14,PT Matahari Trans Utama,8
Roda 3 & Roda 15,Koperasi Bajaj Jaya Mandiri,4
