koridor,nama_halte,lokasi
1,Terminal Blok M,Terminal Blok M
1,Mesjid Al-Azhar,Jl. Sisingamangaraja
1,Bundaran Senayan,Jl. Jend Sudirman
1,Gelora Bungkarno,Jl. Jend Sudirman
1,Polda,Jl. Jend Sudirman
1,Benhil,Jl. Jend Sudirman
1,Karet 2,Jl. Jend Sudirman
1,Dukuh Atas,Jl. Jend Sudirman
1,Tosari,Jl. Jend Sudirman
1,Sarinah,Jl. Mh Thamrin
1,Bi,Jl. Mh Thamrin
1,Monas,Jl. Merdeka Barat
1,Harmoni Central Busway ( Hcb ),Jl. Gajah Mada
1,Sawah Besar,Jl. Gajah Mada
1,Mangga Besar,Jl. Gajah Mada
1,Olimo,Jl. Gajah Mada
1,Glodok,Jl. Gajah Mada
1,Stasiun Kota,Jl.Stasiun 
2,Terminal Pulogadung,Terminal Pulogadung
2,Bermis,Jl.Perintis Kemerdekaan
2,Polumas,Jl.Perintis Kemerdekaan
2,Asmi,Jl.Perintis Kemerdekaan
2,Pedongkelan,Jl.Perintis Kemerdekaan
2,Cempaka Timur ( Cempaka Mas ),Jl.R. Suprapto
2,Rumah Sakit Islam ( Yarsi ),Jl.R. Suprapto
2,Cempaka Tengah ( Lippo ),Jl.R. Suprapto
2,Pasar Cempaka  Putih,Jl.R. Suprapto
2,Rawa Selatan,Jl.R. Suprapto
2,Galur,Jl.R. Suprapto
2,Senen,Jl.Bundaran Senen
2,Atrium,Jl.Senen Raya
2,Rspad,Jl.Kiwi
2,Deplu,Jl.Pejambon
2,Gambir 1,Jl.Merdeka Timur
2,Istiqlal ( Perwira ),Jl.Perwira
2,Juanda,Jl.Juanda
2,Pecenongan,Jl.Juanda
2,Balaikota,Jl.Merdeka Selatan
2,Gambir 2,Jl.Merdeka Selatan
2,Kwitang,Jl.Kwitang
3,Terminal Kalidres,Terminal Kalidres
3,Pesakih,Jl.Daan Mogot
3,Sumur Bor,Jl.Daan Mogot
3,Rawa Buaya,Jl.Daan Mogot
3,Jembatan Baru,Jl.Daan Mogot
3,Dispenda,Jl.Daan Mogot
3,Jembatan Gantung,Jl.Daan Mogot
3,Taman Kota,Jl.Daan Mogot
3,Indosiar,Jl.Daan Mogot
3,Jelambar,Jl.Daan Mogot
3,Grogol 1,Jl.Kyai Tapa
3,Rs.Sumber Waras,Jl.Kyai Tapa
3,Pasar Baru,Jl.Soetomo
4,Dukuh Atas 2,Jl.Dukuh Bawah
4,Halimun,Jl.Galunggung
4,Pasar Rumput,Jl.Galunggung
4,Manggarai,Terminal Manggarai
4,Matraman 2,Jl.Matraman Raya
4,Pasar Genjing,Jl.Pramuka
4,Utan Kayu,Jl.Pramuka
4,Pramuka Lia,Jl.Pramuka
4,Bpkp,Jl.Pramuka
4,Unj,Jl.Pramuka
4,Sunan Giri,Jl.Pemuda
4,Velodrome,Jl.Pemuda
4,Pemuda Paus,Jl.Pemuda
4,Layur,Jl.Pemuda
4,Tugas,Jl.Pemuda
4,Pasar Polugadung,Jl.Bekasi Timur
4,Terminal Polugadung,Jl.Bekasi Timur
5,Kampung Melayu,Terminal Kamp Melayu
5,Pasar Jatinegara ,Jl.Bekasi Timur
5,Kebon Pala,Jl.Bekasi Timur
5,Slamet Riyadi,Jl.Matraman
5,Tegalan,Jl.Matraman
5,Matraman  I,Jl.Matraman
5,Rs. Carolus,Jl.Salemba
5,Salemba Ui,Jl.Salemba
5,Kramat Sentiong,Jl.Kramat Raya
5,Pal Putih,Jl.Kramat Raya
5,Central Senen,Jl.Senen Raya
5,Budi Utomo,Jl.Gunung Sahari
5,Pasar Baru Timur,Jl.Gunung Sahari
5,Jembatan Merah,Jl.Gunung Sahari
5,Gunung Sahari Mangga Dua,Jl.Gunung Sahari
5,Pademangan,Jl.Gunung Sahari
5,Ancol,Taman Impian Jaya Ancol
6,Ragunan,Kebun Binatang Ragunan
6,Departemen Pertanian,Jl.Harsono
6,Smk 57,Jl.Harsono
6,Jati Padang,Jl.Buncit Raya
6,Pejaten,Jl.Buncit Raya
6,Buncit Indah,Jl.Buncit Raya
6,Warung Jati,Jl.Buncit Raya
6,Imigrasi,Jl.Buncit Raya
6,Duren Tiga,Jl.Buncit Raya
6,Mampang Prapatan,Jl.Buncit Raya
6,Kuningan Timur,Jl.Rasuna Said
6,Patra Kuningan,Jl.Rasuna Said
6,Depkes,Jl.Rasuna Said
6,Gor Sumantri,Jl.Rasuna Said
6,Karet Kuningan,Jl.Rasuna Said
6,Kuningan Madya Aini,Jl.Rasuna Said
6,Setiabudi Utara,Jl.Rasuna Said
6,Latuharhari,Jl.Latuharhari
7,Kp. Rambutan,Terminal Kamp Rambutan
7,Tanah Merdeka,Jl.Baru
7,Fly Over Raya Bogor,Jl.Raya Bogor
7,Rs. Harapan Bunda,Jl.Raya Bogor
