kota_administrasi,nama_jalan,panjang_jalan,lebar_jalan,sistem,fungsi,status,nomor_jalan,suffix
jakarta pusat,Toll Ir. Wiyoto Wiyono,500,18,,Toll,Nasional,,0
jakarta pusat,Toll By-Pass (A. Yani),3554,54,,Toll,Nasional,,0
jakarta pusat,Toll Lingkar Dalam (Gatot Subroto),2340,22,,Toll,Nasional,,0
jakarta utara,Toll Bandara (Prof. Sedyatmo),10270,16,,Toll,Nasional,,0
jakarta utara,Toll Pelabuhan,14300,25,,Toll,Nasional,,0
jakarta utara,Toll Pluit - Tomang,1350,18,,Toll,Nasional,,0
jakarta utara,Toll Cacing (Cakung Cilincing),2000,18,,Toll,Nasional,,0
jakarta utara,Toll Ir. Wiyoto Wiyono,3610,18,,Toll,Nasional,,0
jakarta utara,Toll Yos Sudarso,2812,18,,Toll,Nasional,,0
jakarta barat,Toll Bandara (Prof. Sedyatmo),2250,16,,Toll,Kota,,0
jakarta barat,Toll Lingkar Luar Barat,7300,30,,Toll,Kota,,0
jakarta barat,Toll Jakarta - Merak,9200,18,,Toll,Kota,,0
jakarta barat,Toll Pluit - Tomang,3682,18,,Toll,Kota,,0
jakarta barat,Toll Dr. Latumeten,2800,24,,Toll,Kota,,0
jakarta barat,Toll Lingkar Dalam (S. Parman),3900,24,,Toll,Kota,,0
jakarta selatan,Toll Ra. Kartini,3000,21,,Toll,Kota,,0
jakarta selatan,Toll Tb. Simatupang,7300,21,,Toll,Kota,,0
jakarta selatan,Toll Lingkar Dalam (Gatot Subroto),3467,22,,Toll,Kota,,0
jakarta selatan,Toll Lingkar Dalam (Mt. Haryono),2548,18,,Toll,Kota,,0
jakarta timur,Toll Jakarta - Cikampek,4550,18,,Toll,Kota,,0
jakarta timur,Toll Jagorawi,14200,40,,Toll,Kota,,0
jakarta timur,Toll Tb. Simatupang,2900,21,,Toll,Kota,,0
jakarta timur,Toll Lingkar Luar Cikunir,5750,18,,Toll,Kota,,0
jakarta timur,Toll Cacing (Cakung Cilincing),3000,18,,Toll,Kota,,0
jakarta timur,Toll By-Pass (A. Yani),1946,54,,Toll,Kota,,0
jakarta timur,Toll By-Pass (Di. Panjaitan),3500,30,,Toll,Kota,,0
jakarta timur,Toll Lingkar Dalam (Mt. Haryono),1452,18,,Toll,Kota,,0
jakarta pusat,Gatot Subroto,2173,20,Primer,Arteri,Nasional,2795,5
jakarta pusat,Gatot Subroto,313,20,Primer,Arteri,Nasional,2795,6
jakarta pusat,Gelora 1 (Pejompongan - Kebayoran Lama),788,15,Primer,Kolektor,Propinsi,1877,0
jakarta pusat,Gelora 7 (Pejompongan - Kebayoran Lama),500,15,Primer,Kolektor,Propinsi,4584,0
jakarta pusat,Angkasa Raya,1500,30,Sekunder,Arteri,Propinsi,321,0
jakarta pusat,Arief Rachman Hakim,300,16,Sekunder,Arteri,Propinsi,35,0
jakarta pusat,Asia Afrika,1650,20,Sekunder,Arteri,Propinsi,39,0
jakarta pusat,Balikpapan,400,27,Sekunder,Arteri,Propinsi,,0
jakarta pusat,Benyamin Sueb (Ex.Landasan Selatan) (Sebagian),4050,50,Sekunder,Arteri,Propinsi,634,2
jakarta pusat,Cideng Barat,413,10,Sekunder,Arteri,Propinsi,294,1
jakarta pusat,Cideng Barat,2000,10,Sekunder,Arteri,Propinsi,294,2
jakarta pusat,Cideng Timur,2000,10,Sekunder,Arteri,Propinsi,296,1
jakarta pusat,Cideng Timur,413,10,Sekunder,Arteri,Propinsi,296,2
jakarta pusat,Cikini Raya,1680,12,Sekunder,Arteri,Propinsi,312,0
jakarta pusat,Dakota Raya,932,7,Sekunder,Arteri,Propinsi,524,0
jakarta pusat,Diponegoro,1890,18,Sekunder,Arteri,Propinsi,370,1
jakarta pusat,Diponegoro,109,18,Sekunder,Arteri,Propinsi,370,2
jakarta pusat,Diponegoro,656,18,Sekunder,Arteri,Propinsi,370,3
jakarta pusat,Fachrudin,380,18,Sekunder,Arteri,Propinsi,,0
jakarta pusat,Gajah Mada (Sebagian),775,24,Sekunder,Arteri,Propinsi,10044,1
jakarta pusat,Garuda,970,20,Sekunder,Arteri,Propinsi,399,0
jakarta pusat,Gelora / Lapangan Tembak,825,9,Sekunder,Arteri,Propinsi,,
jakarta pusat,Gerbang Pemuda,1020,22,Sekunder,Arteri,Propinsi,20171,0
jakarta pusat,Gunung Sahari 5,241,7,Sekunder,Arteri,Propinsi,420,0
jakarta pusat,Gunung Sahari Raya (Sebagian),4066,26,Sekunder,Arteri,Propinsi,415,2
jakarta pusat,"Hasyim Ashari, Kh",1114,22,Sekunder,Arteri,Propinsi,413,1
jakarta pusat,"Hasyim Ashari, Kh",1100,22,Sekunder,Arteri,Propinsi,413,2
jakarta pusat,Hayam Huruk (Sebagian),772,20,Sekunder,Arteri,Propinsi,10043,1
jakarta pusat,Hos. Cokroaminoto,1819,11,Sekunder,Arteri,Propinsi,327,0
jakarta pusat,Imam Bonjol,1330,18,Sekunder,Arteri,Propinsi,129,0
jakarta pusat,Industri Raya,770,11,Sekunder,Arteri,Propinsi,4928,0
jakarta pusat,Jatibaru,750,20,Sekunder,Arteri,Propinsi,3971,0
jakarta pusat,Jatibunder,777,13,Sekunder,Arteri,Propinsi,507,0
jakarta pusat,Juanda H.Ir,1050,17,Sekunder,Arteri,Propinsi,10022,0
jakarta pusat,Karet Pasar Baru Barat,900,14,Sekunder,Arteri,Propinsi,77459,0
jakarta pusat,Karet Pasar Baru Timur / Rm. Margono Djojohadikoesoemo,680,14,Sekunder,Arteri,Propinsi,443,0
jakarta pusat,Kebon Jati,450,9,Sekunder,Arteri,Propinsi,9098,0
jakarta pusat,Kebon Sirih Raya,562,17,Sekunder,Arteri,Propinsi,712,1
jakarta pusat,Kebon Sirih Raya,1388,17,Sekunder,Arteri,Propinsi,712,2
jakarta pusat,Kemayoran Gempol Raya,1157,14,Sekunder,Arteri,Propinsi,12157,0
jakarta pusat,Kh. Imam Mahbub,492,10,Sekunder,Arteri,Propinsi,4250,0
jakarta pusat,Kramat Bunder,490,25,Sekunder,Arteri,Propinsi,840,0
jakarta pusat,Kramat Raya,1391,40,Sekunder,Arteri,Propinsi,9042,0
jakarta pusat,Kwitang,672,12,Sekunder,Arteri,Propinsi,955,0
jakarta pusat,Kyai Caringin,500,30,Sekunder,Arteri,Propinsi,10111,0
jakarta pusat,Landasan Barat,685,35,Sekunder,Arteri,Propinsi,52307,0
jakarta pusat,Landasan Timur,666,35,Sekunder,Arteri,Propinsi,52307,0
jakarta pusat,Majapahit,430,33,Sekunder,Arteri,Propinsi,11674,0
jakarta pusat,Mangga Besar Raya (Sebagian,357,15,Sekunder,Arteri,Propinsi,1624,3
jakarta pusat,"Mas Mansyur, Kh",2695,20,Sekunder,Arteri,Propinsi,692,0
jakarta pusat,Matraman Dalam,320,20,Sekunder,Arteri,Propinsi,694,0
jakarta pusat,Medan Merdeka Barat,937,35,Sekunder,Arteri,Propinsi,11456,0
jakarta pusat,Medan Merdeka Selatan,937,35,Sekunder,Arteri,Propinsi,1020,0
jakarta pusat,Medan Merdeka Timur,963,30,Sekunder,Arteri,Propinsi,697,0
jakarta pusat,Medan Merdeka Utara,900,35,Sekunder,Arteri,Propinsi,1022,0
jakarta pusat,Menteng Raya,530,16,Sekunder,Arteri,Propinsi,8559,0
jakarta pusat,Moh. Husni Thamrin,250,35,Sekunder,Arteri,Propinsi,700,1
jakarta pusat,Moh. Husni Thamrin,500,35,Sekunder,Arteri,Propinsi,700,2
jakarta pusat,Moh. Husni Thamrin,1500,35,Sekunder,Arteri,Propinsi,700,3
jakarta pusat,Moh. Husni Thamrin / Bundaran Hotel Indonesia,370,35,Sekunder,Arteri,Propinsi,700,4
jakarta pusat,Moh. Ichwan Ridwan Rais,400,25,Sekunder,Arteri,Propinsi,10070,0
jakarta pusat,Pangeran Jayakarta (Sebagian),1205,21,Sekunder,Arteri,Propinsi,1075,1
jakarta pusat,Pasar Senen,972,22,Sekunder,Arteri,Propinsi,1080,0
jakarta pusat,Pejompongan,1400,10,Sekunder,Arteri,Propinsi,1120,0
jakarta pusat,Penjernihan Raya,1274,21,Sekunder,Arteri,Propinsi,1133,0
jakarta pusat,Perwira,360,11,Sekunder,Arteri,Propinsi,,0
jakarta pusat,Pos,485,20,Sekunder,Arteri,Propinsi,9847,0
jakarta pusat,Pramuka Raya,2500,35,Sekunder,Arteri,Propinsi,1235,0
jakarta pusat,Prapatan,910,10,Sekunder,Arteri,Propinsi,1241,0
jakarta pusat,Proklamasi,873,14,Sekunder,Arteri,Propinsi,14032,0
jakarta pusat,Rajawali Selatan Raya,818,18,Sekunder,Arteri,Propinsi,16019,0
jakarta pusat,Salemba Raya,1377,40,Sekunder,Arteri,Propinsi,1308,0
jakarta pusat,"Samanhudi,Kh",1025,20,Sekunder,Arteri,Propinsi,439,0
jakarta pusat,Serdang 3,793,7,Sekunder,Arteri,Propinsi,9973,0
jakarta pusat,"Sudirman, Jend",610,40,Sekunder,Arteri,Propinsi,505,1
