jenis_kendaraan,nama_perusahaan,jumlah_unit ,
Bus Besar,PT. Transportasi Jakarta,1666,
Bus Besar,PT. Mayasari Bakti,881,
Bus Besar,PT. Koda Jaya / AJA Putra,12,
Bus Besar,PT. Sinar Jaya Megah Langgeng,18,
Bus Besar,PT. Bianglala Metropolitan,45,
Bus Besar,PT. Metro Mini (Bus Besar),10,
Bus Besar,PT. Daya Sentosa Utama,8,
Bus Besar,PT. ARH,6,
Bus Sedang,PT. Metro Mini,1041,
Bus Sedang,Kopaja,712,
Bus Sedang,Koantas Bima,122,
Bus Sedang,Kopami Jaya,109,
Bus Sedang,PT. Jewa Dian Mitra,16,
Mikrolet,Komilet Jaya,1491,
Mikrolet,Kopamilet Jaya,1450,
Mikrolet,Kolamas Jaya,610,
Mikrolet,Kojang Jaya,370,
Mikrolet,PT. Virgo Saranatrans Prakarsa,106,
Mikrolet,Purimas Jaya,835,
Mikrolet,PT. Kencana Sakti Transport,132,
Mikrolet,PT. Sumberminilet Pulomas,19,
Mikrolet,Budi Luhur,476,
Mikrolet,Komika Jaya,10,
Mikrolet,Trans Halim,162,
Mikrolet,PT. Lestarisurya Gemapersada,192,
APB,Komika Jaya,155,
APB,Kolamas Jaya,100,
APB,Komilet Jaya,56,
APB,Purimas Jaya,80,
APB,Budi Luhur,142,
APB,Kojang Jaya,108,
KWK,KWK,5660,
Angkutan Kota Antar Provinsi (AKAP),PT. Sinar Jaya Megah Langgeng,706,
Angkutan Kota Antar Provinsi (AKAP),PT. Primajasa Perdanaraya,404,
Angkutan Kota Antar Provinsi (AKAP),Damri St.Bandara Soetta,253,
Angkutan Kota Antar Provinsi (AKAP),Perum PPD,225,
Angkutan Kota Antar Provinsi (AKAP),PT. Arimbi Jaya Agung,224,
Angkutan Kota Antar Provinsi (AKAP),"PT. Eka Sari Lorena Transport,Tbk (Lorena)",201,
Angkutan Kota Antar Provinsi (AKAP),PT. Kramat Djati Cab.Jakarta,148,
Angkutan Kota Antar Provinsi (AKAP),PT. Pahala Kencana,145,
Angkutan Kota Antar Provinsi (AKAP),PT. Hiba Utama Cq. Laju Prima,125,
Angkutan Kota Antar Provinsi (AKAP),PT. Anugerah Mas,95,
Angkutan Kota Antar Provinsi (AKAP),PT. Garuda Mas Putera Esa Cab.Jakarta,72,
Angkutan Kota Antar Provinsi (AKAP),PT. Warga Baru Expres Cab Jakarta,66,
Angkutan Kota Antar Provinsi (AKAP),PT. Hiba Utama Cq. Laju Utama,64,
Angkutan Kota Antar Provinsi (AKAP),Benteng Jaya,51,
Angkutan Kota Antar Provinsi (AKAP),Daya Melati Indah Cq. PT. SJML,47,
Angkutan Kota Antar Provinsi (AKAP),Bima Suci,30,
Angkutan Kota Antar Provinsi (AKAP),Bina Optima Sj Cq. Pandu Jaya,30,
Angkutan Kota Antar Provinsi (AKAP),PT. Ryanta Mitra Karina,25,
Angkutan Kota Antar Provinsi (AKAP),PT. Setia Negara Cab Jakarta,23,
Angkutan Kota Antar Provinsi (AKAP),Perum Damri St. Jakarta,21,
Angkutan Kota Antar Provinsi (AKAP),PT. BPW. Pahala Kencana,21,
Angkutan Kota Antar Provinsi (AKAP),PT. Safari Dharma Sakti Cab Jakarta,19,
Angkutan Kota Antar Provinsi (AKAP),Kowanbisata,18,
Angkutan Kota Antar Provinsi (AKAP),PT. Hiba Utama,18,
Angkutan Kota Antar Provinsi (AKAP),Tunggal Dara Indonesia,18,
Angkutan Kota Antar Provinsi (AKAP),PT. Primajasa Perdanarayaputra,15,
Angkutan Kota Antar Provinsi (AKAP),PT. Malino Putra Kencana,13,
Angkutan Kota Antar Provinsi (AKAP),PT. Gajah Mulia Sejahtera,9,
Angkutan Kota Antar Provinsi (AKAP),PT. Andhora Nusantara Persada,6,
Angkutan Kota Antar Provinsi (AKAP),PT. Anggrek Cempaka,6,
Angkutan Kota Antar Provinsi (AKAP),Dewi Sri Pangestu,5,
Angkutan Kota Antar Provinsi (AKAP),PT. Gajah Mungkur Sejahtera,5,
Angkutan Kota Antar Provinsi (AKAP),Sinar Jaya Langgeng Utama,3,
Taksi Reguler,PT. Presiden Taksi,353,
Taksi Reguler,PT. Buana Metropolitan,2,
Taksi Reguler,PT. Primajasa Perdanaraya,400,
Taksi Reguler,PT. Blue Bird,1595,
Taksi Reguler,PT. Cendrawasih Pertiwi Jaya,2450,
Taksi Reguler,PT. Morante Jaya,2000,
Taksi Reguler,PT. Gamya,689,
Taksi Reguler,PT. Lintas Buana Taksi,1100,
Taksi Reguler,PT. Luhur Satria Sejatikencana,1500,
Taksi Reguler,PT. Dharma Indah Agung. M (Dian Taksi),355,
Taksi Reguler,PT. Sriyani Asti,320,
Taksi Reguler,PT. Ratax Armada,75,
Taksi Reguler,PT. Sri Medali,44,
