nama_perusahaan,jumlah
Sinar Jaya Megah Langgeng,647
Arimbi,369
Primajasa Perdanaraya,360
Lorena,209
Kramat Djati,206
Damri ST. Bandara Soetta,182
Warga Baru,132
Pahala Kencana,109
Hiba Utama cq. Laju Utama,95
Anugerah Mas,87
Hiba Utama cq. Laju Prima,85
Garuda Mas Cab Jakarta,75
PT. Safari Dharma Sakti/Raya,72
BPW. Pahala Kencana,55
Daya Melati Indah cq.PT.SJML,53
Ryanta Mitra Karina,53
Benteng Jaya,51
Setia Bhakti,44
Bina Optima SJ cq. Pandu Jaya,39
Mekar Jaya,35
Wifend Darma Persada,34
Bima Suci,33
Limas,29
Setia Negara,23
Damri ST. Jakarta,22
Garuda  ,22
Bogor Indah,19
Tunggal Dara Indonesia,18
Bintang Permata Bunda,18
Bintang Kejora,17
Gajah Mulia Sejahtera,16
Giri Indah cab Jakarta,13
Malino Putra Kencana,11
Continental Megah Express,10
A.N.S.,10
Deborah,10
Bintang Agung Bhakti,9
Medal Sekarwangi,7
Cendrawasih,6
Anggrek Cempaka,6
Kowanbisata,6
PT. Gajah Mungkur Sejahtera,5
Dewi Sri Pangestu,5
Sinar Jaya Langgeng Utama,3
