nama_po,jumlah_bus
PT. HIBA UTAMA,1007
PT. SINAR JAYA MEGAH LANGGENG,800
PT. BIG BIRD PUSAKA,598
PT. PRIMAJASA PERDANARAYAUTAMA,368
PT. SINAR JAYA LANGGENG UTAMA,245
PT. ARIMBI JAYA AGUNG,197
PT. UNITED AUTOMOBIL SEMBILAN PULUH U.,187
PT. EKA SARI LORENA TRANSPORT,
PT. KRAMATDJATI ASRI SEJATI CABANG JAKARTA,141
PT. WEHA TRANSPORTASI INDONESIA,136
PT. WARGA BARU EKSPRESS CAB. JAKARTA,129
PT. CITY TRANS UTAMA,116
PT.DESTINASI TIRTA NUSANTARA TBK,114
PT. PRIMAJASA PERDANARAYAPUTRA,94
PT. GARUDA MAS PUTERA ESA,80
PT. ARION INDONESIA TRANSPORT,70
PT. HIBA PRIMA SEJAHTERA,58
PT. CITRA MAHARLIKA LINTAS WAHANA,55
PT. FAJARCEMERLANG BINAKHARISMA,53
PT. EKSPRES MULIA PERDANA,44
PERUM DAMRI CABANG BASOETTA,42
PT. EXPRESS TRANSINDO UTAMA,36
PT. GAJAH MULIA SEJAHTERA,34
PT. SETIA NEGARA,31
PT MAYA GAPURA INTAN,30
PT. ANUGERAH MAS,28
PT. JAYA MURNI SEJAHTERA,28
PT. RYANTA MITRA KARINA,28
PT. BPW PAHALA KENCANA,25
PT. METRO MULTI TRANSPORTASI,25
PT.VAYA TRANSPORT,25
PT. SAFARI DHARMA SAKTI,23
PERUM DAMRI KANTOR CABANG JAKARTA,20
PT. DESIANA CITRA LESTARI,19
PT. MANO MARION,17
PT. SEMESTA INDOPRIMA,15
PT. AYUTA SAMARTHYA,14
PERUM PPD,12
PT. GRIYA DAMAI KITA,11
PT. AGUS JAYA SEKAWAN,10
PT. JALA BHAKTI YASBHUM,10
PT. KRAMATDJATI ASRI SEJATI,9
PT. CAKRA TRIMITRA SEJATI,8
PT. DANNY BERSAMA,8
PT. EXPRESS KENCANAKELOLA JAYAJASA,8
PT. GIRI INDAH ABADI,8
PT. KANAYA TRANSWISATA,8
PT. SURYA ANUGERAH KENCANA,8
PT. PRIMA VIJAYA INDAH TOUR,7
PT.SOLUSINDO ANUGERAH WISATA,7
PT. ANDHORA NUSANTARA PERSADA,6
PT. CAHAYA MITRA MUKIM,5
PT. LAKS PREMIUM AUTOBUS,5
PT. PACTO,5
PT. TERANG FAJAR TRANSPORTINDO,5
PT.DRAGON JAYA UTAMA,5
