koridor,jumlah_halte,panjang_lintasan,Jarak_rata_rata_antar_ halte,Waktu_tempuh_(one way)_rata_rata,Kecepatan_operasional_maks
Blok M - Kota,14.0,12.9,650 m,90 Menit,60 Km/Jam
Pulo Gadung - Harmoni,22.0,14.3,700 - 800 m,90 Menit,60 Km/Jam
Kalideres - Harmoni,13.0,18.7,700 - 800 m,90 Menit,60 Km/Jam
Pulo Gadung - Dukuh Atas,16.0,11.85,700 - 800 m,90 Menit,60 Km/Jam
Kampung Melayu - Ancol,17.0,15.5,450 - 2.250 m,90 Menit,60 Km/Jam
Ragunan - Kuningan,18.0,13.3,700 - 800 m ,90 Menit,60 Km/Jam
Kampung Rambutan - Kampung Melayu,13.0,12.8,500 - 1.500 m,100 Menit,60 Km/Jam
Lebak Bulus - Harmoni,19.0,24.0,500 - 1.500 m,120 Menit,60 Km/Jam
Pinang Ranti - Pluit,23.0,28.45,500 - 1.500 m,190 Menit,60 Km/Jam
Cililitan - Tanjung Priok,18.0,18.0,500 - 1.500 m,110 Menit,60 Km/Jam
Pulo Gebang - Kampung Melayu,14.0,11.35,360 - 1.250 m,130 Menit,60 Km/Jam
Pluit - Tanjung Priok,13.0,23.75,450 - 3.178 m,240 Menit,60 Km/Jam
Pulo Gadung - Bekasi (Koridor Ekstension),7.0,16.16,690 - 1200 m,-,-
