type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
RSUD CENGKARENG,JAKARTA,116,6762
RSUD CENGKARENG,BOGOR,,
RSUD CENGKARENG,DEPOK,30,752
RSUD CENGKARENG,TANGERANG,81,1661
RSUD CENGKARENG,BEKASI,29,614
RSUD DUREN SAWIT,JAKARTA,62,1032
RSUD DUREN SAWIT,BOGOR,,
RSUD DUREN SAWIT,DEPOK,,
RSUD DUREN SAWIT,TANGERANG,,
RSUD DUREN SAWIT,BEKASI,,
RSUD PASAR MINGGU,JAKARTA,31,1421
RSUD PASAR MINGGU,BOGOR,0,0
RSUD PASAR MINGGU,DEPOK,0,0
RSUD PASAR MINGGU,TANGERANG,,
RSUD PASAR MINGGU,BEKASI,0,0
RSUD TARAKAN,JAKARTA,61,5362
RSUD TARAKAN,BOGOR,31,1788
RSUD TARAKAN,DEPOK,31,1463
RSUD TARAKAN,TANGERANG,31,1876
RSUD TARAKAN,BEKASI,62,2201
RSUD PASAR REBO,JAKARTA,,
RSUD PASAR REBO,BOGOR,31,851
RSUD PASAR REBO,DEPOK,26,343
RSUD PASAR REBO,TANGERANG,,
RSUD PASAR REBO,BEKASI,31,785
RSUD KOJA,JAKARTA,84,4067
RSUD KOJA,BOGOR,,
RSUD KOJA,DEPOK,,
RSUD KOJA,TANGERANG,,
RSUD KOJA,BEKASI,95,2032
RS PONDOK INDAH,JAKARTA,31,1235
RS PONDOK INDAH,BOGOR,31,1791
RS PONDOK INDAH,DEPOK,,
RS PONDOK INDAH,TANGERANG,0,0
RS PONDOK INDAH,BEKASI,,
RSUD BUDHI ASIH,JAKARTA,,
RSUD BUDHI ASIH,BOGOR,60,1176
RSUD BUDHI ASIH,DEPOK,,
RSUD BUDHI ASIH,TANGERANG,,
RSUD BUDHI ASIH,BEKASI,21,344
R S C M,JAKARTA,60,3345
R S C M,BOGOR,51,2647
R S C M,DEPOK,46,3338
R S C M,TANGERANG,51,2054
R S C M,BEKASI,77,5549
P M I,JAKARTA,0,0
P M I,BOGOR,,
P M I,DEPOK,29,793
P M I,TANGERANG,,
P M I,BEKASI,26,429
RSUD JATI PADANG,JAKARTA,93,3095
PUSKESMAS MAMPANG PRAPATAN,JAKARTA,,
PUSKESMAS PANCORAN,JAKARTA,,
PUSKESMAS CILANDAK,JAKARTA,,
PUSKESMAS TEBET,JAKARTA,,
PUSKESMAS KUNINGAN  BARAT,JAKARTA,,
PUSKESMAS KEBAYORAN BARU,JAKARTA,,
PUSKESMAS KEBAYORAN LAMA,JAKARTA,,
SUDINKES JAKARTA SELATAN,JAKARTA,,
RSUP PERSAHABATAN,JAKARTA,20,350
RSUP PERSAHABATAN,BOGOR,40,687
RSUP PERSAHABATAN,DEPOK,20,494
RSUP PERSAHABATAN,TANGERANG,,
RSUP PERSAHABATAN,BEKASI,40,1509
RS JANTUNG HARAPAN KITA,JAKARTA,51,1361
RS JANTUNG HARAPAN KITA,BOGOR,30,1344
RS JANTUNG HARAPAN KITA,TANGERANG,0,0
RS JANTUNG HARAPAN KITA,BEKASI,27,954
RSPI SULIANTI SAROSO,JAKARTA,93,3855
RSUP FATMAWATI,JAKARTA,31,1270
RS KANKER DHARMAIS,JAKARTA,43,1397
RS UKI CAWANG,BEKASI,19,317
RS UKI CAWANG,BOGOR,24,415
Puskesmas Kemayoran,RS Wisma Atlet,1,10
Puskesmas Kemayoran,RS Wisma Atlet,1,6
RS Marinir Cilandak,RS Wisma Atlet,1,20
Puskesmas Ciracas,RS Wisma Atlet,1,18
Puskesmas Ciracas,RS Wisma Atlet,1,6
RS Marinir Cilandak,RS Wisma Atlet,1,6
Puskesmas Ciracas,RS Wisma Atlet,1,13
Puskesmas Makasar (UPAS),RS Wisma Atlet,1,1
RS Marinir Cilandak,RS Wisma Atlet,1,12
Puskesmas Tanjung Priok,RS Wisma Atlet,1,16
Puskesmas Kemayoran,RS Wisma Atlet,1,5
RS Marinir Cilandak,RS Wisma Atlet,1,10
Puskesmas Makasar (UPAS),RS Wisma Atlet,1,2
Puskesmas Ciracas,RS Wisma Atlet,1,12
Puskesmas Makasar (UPAS),RS Wisma Atlet,1,1
Puskesmas Ciracas,RS Wisma Atlet,1,40
Puskesmas kemayoran,RS Wisma Atlet,1,11
Puskesmas Makasar   ,RS Wisma Atlet,1,1
Puskesmas Ciracas,RS Wisma Atlet,1,8
Puskesmas Koja,RS Wisma Atlet,1,7
Puskesmas Ciracas,RS Wisma Atlet,1,41
RS Marinir Cilandak,RS Wisma Atlet,1,7
Puskesmas Ciracas,RS Wisma Atlet,1,7
Puskesmas Ciracas,RS Wisma Atlet,1,25
Puskesmas Ciracas,RS Wisma Atlet,1,11
Puskesmas Ciracas,RS Wisma Atlet,1,12
RS Marinir Cilandak,RS Wisma Atlet,1,7
Puskesmas Ciracas,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,18
RS Marinir Cilandak,RS Wisma Atlet,1,8
Puskesmas Ciracas,RS Wisma Atlet,1,14
Puskesmas Ciracas,RS Wisma Atlet,1,9
Puskesmas Duren Sawit,RS Wisma Atlet,1,9
Puskesmas Kemayoran,RS Wisma Atlet,1,11
Puskesmas Koja,RS Wisma Atlet,1,5
Puskesmas Ciracas,RS Wisma Atlet,1,23
Puskesmas Ciracas,RS Wisma Atlet,1,11
Puskesmas Duren Sawit,RS Wisma Atlet,1,9
Rusun Pasar Rumput,RS Wisma Atlet,1,36
CILINCING,Sentra Vaksinasi terdekat dari lokasi penjemputan,5,59
KELAPA GADING,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
KOJA,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
PADEMANGAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,5,16
PENJARINGAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,7,132
TANJUNG PRIOK,Sentra Vaksinasi terdekat dari lokasi penjemputan,1,0
CAKUNG,Sentra Vaksinasi terdekat dari lokasi penjemputan,42,1480
CIPAYUNG,Sentra Vaksinasi terdekat dari lokasi penjemputan,3,58
CIRACAS,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
DUREN SAWIT,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
JATINEGARA,Sentra Vaksinasi terdekat dari lokasi penjemputan,7,103
KRAMAT JATI,Sentra Vaksinasi terdekat dari lokasi penjemputan,4,96
MAKASAR,Sentra Vaksinasi terdekat dari lokasi penjemputan,10,134
MATRAMAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,1,13
PASAR REBO,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
PULO GADUNG,Sentra Vaksinasi terdekat dari lokasi penjemputan,4,140
CEMPAKA PUTIH,Sentra Vaksinasi terdekat dari lokasi penjemputan,1,13
GAMBIR,Sentra Vaksinasi terdekat dari lokasi penjemputan,1,28
JOHAR BARU,Sentra Vaksinasi terdekat dari lokasi penjemputan,1,7
KEMAYORAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,2,46
MENTENG,Sentra Vaksinasi terdekat dari lokasi penjemputan,1,9
SAWAH BESAR,Sentra Vaksinasi terdekat dari lokasi penjemputan,2,26
SENEN,Sentra Vaksinasi terdekat dari lokasi penjemputan,6,38
TANAH ABANG,Sentra Vaksinasi terdekat dari lokasi penjemputan,22,475
CILANDAK,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
JAGAKARSA,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
KEBAYORAN BARU,Sentra Vaksinasi terdekat dari lokasi penjemputan,9,261
KEBAYORAN LAMA,Sentra Vaksinasi terdekat dari lokasi penjemputan,30,829
MAMPANG PRAPATAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
PANCORAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,4,43
PASAR MINGGU,Sentra Vaksinasi terdekat dari lokasi penjemputan,12,218
PESANGGRAHAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
SETIABUDI,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
TEBET,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
CENGKARENG,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
GROGOL PETAMBURAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
KALIDERES,Sentra Vaksinasi terdekat dari lokasi penjemputan,3,57
KEBON JERUK,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
KEMBANGAN,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
PALMERAH,Sentra Vaksinasi terdekat dari lokasi penjemputan,0,0
TAMAN SARI,Sentra Vaksinasi terdekat dari lokasi penjemputan,1,2
TAMBORA,Sentra Vaksinasi terdekat dari lokasi penjemputan,2,37
RS Wisma Atlet (Vaksinator Nakes),CILINCING,26,332
