type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
RSUD CENGKARENG,JAKARTA,125,5203
RSUD CENGKARENG,BOGOR,,
RSUD CENGKARENG,DEPOK,30,692
RSUD CENGKARENG,TANGERANG,70,1232
RSUD CENGKARENG,BEKASI,24,233
RSUD DUREN SAWIT,JAKARTA,95,4887
RSUD DUREN SAWIT,BOGOR,,
RSUD DUREN SAWIT,DEPOK,,
RSUD DUREN SAWIT,TANGERANG,,
RSUD DUREN SAWIT,BEKASI,,
RSUD PASAR MINGGU,JAKARTA,,
RSUD PASAR MINGGU,BOGOR,12,104
RSUD PASAR MINGGU,DEPOK,21,278
RSUD PASAR MINGGU,TANGERANG,,
RSUD PASAR MINGGU,BEKASI,18,191
RSUD TARAKAN,JAKARTA,,
RSUD TARAKAN,BOGOR,31,1593
RSUD TARAKAN,DEPOK,31,1272
RSUD TARAKAN,TANGERANG,58,3162
RSUD TARAKAN,BEKASI,58,1757
RSUD PASAR REBO,JAKARTA,,
RSUD PASAR REBO,BOGOR,27,694
RSUD PASAR REBO,DEPOK,20,288
RSUD PASAR REBO,TANGERANG,29,250
RSUD PASAR REBO,BEKASI,31,425
RSUD KOJA,JAKARTA,103,3912
RSUD KOJA,BOGOR,,
RSUD KOJA,DEPOK,,
RSUD KOJA,TANGERANG,,
RSUD KOJA,BEKASI,100,2192
RS PONDOK INDAH,JAKARTA,31,1419
RS PONDOK INDAH,BOGOR,31,1870
RS PONDOK INDAH,DEPOK,,
RS PONDOK INDAH,TANGERANG,12,117
RS PONDOK INDAH,BEKASI,,
RSUD BUDHI ASIH,JAKARTA,,
RSUD BUDHI ASIH,BOGOR,62,901
RSUD BUDHI ASIH,DEPOK,,
RSUD BUDHI ASIH,TANGERANG,,
RSUD BUDHI ASIH,BEKASI,23,234
R S C M,JAKARTA,62,5388
R S C M,BOGOR,92,3617
R S C M,DEPOK,62,3627
R S C M,TANGERANG,74,2104
R S C M,BEKASI,92,6566
P M I,JAKARTA,24,197
P M I,BOGOR,,
P M I,DEPOK,26,648
P M I,TANGERANG,,
P M I,BEKASI,47,812
RSUD JATI PADANG,JAKARTA,68,664
PUSKESMAS MAMPANG PRAPATAN,JAKARTA,,
PUSKESMAS PANCORAN,JAKARTA,,
PUSKESMAS CILANDAK,JAKARTA,,
PUSKESMAS TEBET,JAKARTA,,
PUSKESMAS KUNINGAN  BARAT,JAKARTA,,
PUSKESMAS KEBAYORAN BARU,JAKARTA,,
PUSKESMAS KEBAYORAN LAMA,JAKARTA,,
SUDINKES JAKARTA SELATAN,JAKARTA,,
RSUP PERSAHABATAN,JAKARTA,20,402
RSUP PERSAHABATAN,BOGOR,39,620
RSUP PERSAHABATAN,DEPOK,20,331
RSUP PERSAHABATAN,TANGERANG,,
RSUP PERSAHABATAN,BEKASI,49,1562
RS JANTUNG HARAPAN KITA,BOGOR,28,526
RS JANTUNG HARAPAN KITA,TANGERANG,,
RS JANTUNG HARAPAN KITA,BEKASI,20,748
RSPI SULIANTI SAROSO,JAKARTA,91,4378
Puskesmas Kepulauan Seribu,RS Wisma Atlet,1,19
Puskesmas Ciracas,RS Wisma Atlet,1,12
Puskesmas Duren Sawit,RS Wisma Atlet,1,8
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,6
Puskesmas Ciracas Tahap II,RS Wisma Atlet,1,7
Puskesmas Cempaka Putih,RS Wisma Atlet,1,12
Puskesmas Pasar Minggu,RS Wisma Atlet,1,9
Puskesmas Makasar,RS Wisma Atlet,1,18
Puskesmas Cipayung,RS Wisma Atlet,1,11
Puskesmas Kramat Jati,RS Wisma Atlet,1,8
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,11
Puskesmas Rawabadak Selatan Tahap II ,RS Wisma Atlet,1,27
Puskesmas Ciracas,RS Wisma Atlet,1,26
Puskesmas Pasar Minggu,RS Wisma Atlet,1,12
Puskesmas Pancoran,RS Wisma Atlet,1,13
