type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
RSUD CENGKARENG,JAKARTA,118,6732
RSUD CENGKARENG,DEPOK,31,886
RSUD CENGKARENG,TANGERANG,85,1756
RSUD CENGKARENG,BEKASI,31,519
RSUD DUREN SAWIT,JAKARTA,62,1142
RSUD PASAR MINGGU,JAKARTA,31,1247
RSUD TARAKAN,JAKARTA,47,4909
RSUD TARAKAN,BOGOR,31,2144
RSUD TARAKAN,DEPOK,31,1550
RSUD TARAKAN,TANGERANG,31,1798
RSUD TARAKAN,BEKASI,60,2273
RSUD PASAR REBO,BOGOR,28,719
RSUD PASAR REBO,DEPOK,29,346
RSUD PASAR REBO,BEKASI,31,671
RSUD KOJA,JAKARTA,83,3469
RSUD KOJA,BEKASI,94,1966
RS PONDOK INDAH,JAKARTA,31,1340
RS PONDOK INDAH,BOGOR,31,1788
RSUD BUDHI ASIH,JAKARTA,65,1187
RSUD BUDHI ASIH,BOGOR,22,359
R S C M,JAKARTA,62,3046
R S C M,BOGOR,69,3343
R S C M,DEPOK,47,3266
R S C M,TANGERANG,67,2097
R S C M,BEKASI,75,5408
P M I,DEPOK,26,602
P M I,BEKASI,25,448
RSUD JATI PADANG,JAKARTA,93,2658
PUSKESMAS MAMPANG PRAPATAN,JAKARTA,,
PUSKESMAS PANCORAN,JAKARTA,,
PUSKESMAS CILANDAK,JAKARTA,,
PUSKESMAS TEBET,JAKARTA,,
PUSKESMAS KUNINGAN  BARAT,JAKARTA,,
PUSKESMAS KEBAYORAN BARU,JAKARTA,,
PUSKESMAS KEBAYORAN LAMA,JAKARTA,,
SUDINKES JAKARTA SELATAN,JAKARTA,,
RSUP PERSAHABATAN,JAKARTA,21,301
RSUP PERSAHABATAN,BOGOR,42,658
RSUP PERSAHABATAN,DEPOK,21,434
RSUP PERSAHABATAN,BEKASI,39,1204
RS JANTUNG HARAPAN KITA,JAKARTA,44,1406
RS JANTUNG HARAPAN KITA,BOGOR,31,1241
RS JANTUNG HARAPAN KITA,BEKASI,21,743
RSPI SULIANTI SAROSO,JAKARTA,91,3937
RSUP FATMAWATI,JAKARTA,26,842
RS KANKER DHARMAIS,JAKARTA,45,1701
RS UKI CAWANG,BOGOR,1,8
Puskesmas Tebet,RS Wisma Atlet,1,3
RS Marinir Cilandak,RS Wisma Atlet,1,19
Puskesmas Koja,RS Wisma Atlet,1,12
Puskesmas Cipayung ,RS Wisma Atlet,1,19
Puskesmas Cakung,RS Wisma Atlet,1,10
Puskesmas Koja Tahap II,RS Wisma Atlet,1,10
Puskesmas Cilincing,RS Wisma Atlet,1,12
Puskesmas Setiabudi,RS Wisma Atlet,1,12
Puskesmas Grogol Petamburan,RS Wisma Atlet,1,10
Puskesmas Setia Budi,RS Wisma Atlet,1,8
Puskesmas Pancoran,RS Wisma Atlet,1,10
Puskesmas Palmerah,RS Wisma Atlet,1,18
RS Marinir Cilandak Tahap II,RS Wisma Atlet,1,7
Puskesmas Kemayoran,RS Wisma Atlet,1,7
Puskesmas Sawah Besar,RS Wisma Atlet,1,14
Puskesmas Tebet Tahap II,RS Wisma Atlet,1,8
Puskesmas Penjaringan,RS Wisma Atlet,1,14
Puskesmas Cakung,RS Wisma Atlet,1,8
Puskesmas Pasar Minggu,RS Wisma Atlet,1,29
Puskesmas Tanah Abang,RS Wisma Atlet,1,7
Puskesmas Kemayoran Tahap II,RS Wisma Atlet,1,15
Puskesmas Kemayoran Tahap III,RS Wisma Atlet,1,15
Puskesmas Pulo Gadung,RS Wisma Atlet,1,10
Puskesmas Koja,RS Wisma Atlet,1,7
Puskesmas Matraman,RS Wisma Atlet,1,14
Puskesmas Koja,RS Wisma Atlet,1,9
Puskesmas Duren Sawit,RS Wisma Atlet,1,8
Puskesmas Cipayung ,RS Wisma Atlet,1,4
Puskesmas Setia Budi,RS Wisma Atlet,1,13
Puskesmas Tebet,RS Wisma Atlet,1,20
Puskesmas Cipayung Tahap II,RS Wisma Atlet,1,12
Puskesmas Pademangan,RS Wisma Atlet,1,4
Puskesmas Makasar,RS Wisma Atlet,1,4
Puskesmas pancoran,RS Wisma Atlet,1,7
Puskesmas Cilincing,RS Wisma Atlet,1,12
Puskesmas Jatinegara,RS Wisma Atlet,1,16
Puskesmas Kemayoran,RS Wisma Atlet,1,14
Puskesmas Grogol Petamburan,RS Wisma Atlet,1,13
Puskesmas Kelapa Gading,RS Wisma Atlet,1,10
Puskesmas Sawah Besar,RS Wisma Atlet,1,20
Puskesmas Senen,RS Wisma Atlet,1,12
Puskesmas Cilandak,RS Wisma Atlet,1,7
Puskesmas tebet,RS Wisma Atlet,1,5
Puskesmas Tanah Abang,RS Wisma Atlet,1,9
Puskesmas Kemayoran,RS Wisma Atlet,1,14
RS Marinir Cilandak,RS Wisma Atlet,1,11
Puskesmas palmerah,RS Wisma Atlet,1,26
Puskesmas Penjaringan,RS Wisma Atlet,1,6
Puskesmas Tebet Tahap I,RS Wisma Atlet,1,33
Puskesmas Koja Tahap I,RS Wisma Atlet,1,5
Puskesmas Koja Tahap II,RS Wisma Atlet,1,3
RSCM,RS Wisma Atlet,1,8
Puskesmas Tebet Tahap II,RS Wisma Atlet,1,13
Puskesmas Kelapa Gading,RS Wisma Atlet,1,7
Puskesmas Menteng,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,26
RS Marinir Cilandak Tahap I,RS Wisma Atlet,1,17
Puskesmas Kramat Jati,RS Wisma Atlet,1,11
Puskesmas Pancoran,RS Wisma Atlet,1,18
Puskesmas Kemayoran,RS Wisma Atlet,1,15
Puskesmas Johar Baru,RS Wisma Atlet,1,13
Puskesmas Matraman,RS Wisma Atlet,1,15
Puskesmas Cilincing,RS Wisma Atlet,1,8
Puskesmas Tanah Abang,RS Wisma Atlet,1,6
Puskesmas Pasar Minggu,RS Wisma Atlet,1,29
Puskesmas Pulo Gadung,RS Wisma Atlet,1,14
RS Marinir Cilandak Tahap II,RS Wisma Atlet,1,10
Puskesmas Cipayung Tahap I,RS Wisma Atlet,1,7
Puskesmas Cipayung Tahap II,RS Wisma Atlet,1,6
Puskesmas Pademangan,RS Wisma Atlet,1,11
Puskesmas Tebet,RS Wisma Atlet,1,19
Puskesmas Kemayoran,RS Wisma Atlet,1,10
Puskesmas Tanah Abang,RS Wisma Atlet,1,8
RS Marinir Cilandak,RS Wisma Atlet,1,36
Puskesmas Cilincing,RS Wisma Atlet,1,15
Puskesmas Matraman,RS Wisma Atlet,1,10
Puskesmas Ciracas,RS Wisma Atlet,1,6
Puskesmas Makasar,RS Wisma Atlet,1,14
Puskesmas Penjaringan,RS Wisma Atlet,1,18
Puskesmas Kelapa Gading Tahap I,RS Wisma Atlet,1,10
Puskesmas Pasar Minggu,RS Wisma Atlet,1,16
Puskesmas Pulo Gadung,RS Wisma Atlet,1,8
Puskesmas Palmerah,RS Wisma Atlet,1,11
Puskesmas Kelapa Gading Tahap II,RS Wisma Atlet,1,11
Puskesmas Menteng,RS Wisma Atlet,1,4
Puskesmas Kramat Jati,RS Wisma Atlet,1,4
Puskesmas Tebet,RS Wisma Atlet,1,8
Puskesmas Koja,RS Wisma Atlet,1,3
Puskesmas Koja Tahap II,RS Wisma Atlet,1,10
Puskesmas Matraman,RS Wisma Atlet,1,14
Puskesmas Cilincing,RS Wisma Atlet,1,6
Puskesmas Ciracas,RS Wisma Atlet,1,26
Puskesmas Kemayoran,RS Wisma Atlet,1,7
Puskesmas Pancoran,RS Wisma Atlet,1,12
Puskesmas Tanah Abang,RS Wisma Atlet,1,10
Puskesmas Jagakarsa,RS Wisma Atlet,1,5
Puskesmas Palmerah,RS Wisma Atlet,1,16
Puskesmas Pasar Minggu,RS Wisma Atlet,1,13
Puskesmas Pulo Gadung,RS Wisma Atlet,1,10
Puskesmas Grogol Petamburan,RS Wisma Atlet,1,8
Puskesmas Koja Tahap I,RS Wisma Atlet,1,8
Puskesmas Koja Tahap II,RS Wisma Atlet,1,12
Puskesmas Tebet,RS Wisma Atlet,1,26
Puskesmas Cipayung,RS Wisma Atlet,1,9
Puskesmas Cilincing,RS Wisma Atlet,1,9
Puskesmas Kemayoran,RS Wisma Atlet,1,6
Puskesmas Ciracas,RS Wisma Atlet,1,12
Puskesmas Pasar Minggu,RS Wisma Atlet,1,7
Puskesmas Pancoran,RS Wisma Atlet,1,10
Puskesmas Menteng,RS Wisma Atlet,1,7
Puskesmas Tanah Abang,RS Wisma Atlet,1,10
RS Marinir Cilandak,RS Wisma Atlet,1,7
Puskesmas Pulo Gadung,RS Wisma Atlet,1,9
Puskesmas Makasar,RS Wisma Atlet,1,10
Puskesmas Penjaringan,RS Wisma Atlet,1,6
Puskesmas Cempaka Putih,RS Wisma Atlet,1,18
Puskesmas Koja Tahap I,RS Wisma Atlet,1,5
Puskesmas Koja Tahap II,RS Wisma Atlet,1,13
Puskesmas Cipayung,RS Wisma Atlet,1,17
Puskesmas Ciracas,RS Wisma Atlet,1,18
Puskesmas Kemayoran,RS Wisma Atlet,1,21
Puskesmas Gambir,RS Wisma Atlet,1,10
