type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
RSUD CENGKARENG,JAKARTA,104,4694
RSUD CENGKARENG,BOGOR,,
RSUD CENGKARENG,DEPOK,29,772
RSUD CENGKARENG,TANGERANG,73,1499
RSUD CENGKARENG,BEKASI,25,452
RSUD DUREN SAWIT,JAKARTA,79,1346
RSUD DUREN SAWIT,BOGOR,,
RSUD DUREN SAWIT,DEPOK,,
RSUD DUREN SAWIT,TANGERANG,,
RSUD DUREN SAWIT,BEKASI,,
RSUD PASAR MINGGU,JAKARTA,16,508
RSUD PASAR MINGGU,BOGOR,0,0
RSUD PASAR MINGGU,DEPOK,0,0
RSUD PASAR MINGGU,TANGERANG,,
RSUD PASAR MINGGU,BEKASI,0,0
RSUD TARAKAN,JAKARTA,21,773
RSUD TARAKAN,BOGOR,30,1683
RSUD TARAKAN,DEPOK,29,1285
RSUD TARAKAN,TANGERANG,42,1863
RSUD TARAKAN,BEKASI,60,2108
RSUD PASAR REBO,JAKARTA,,
RSUD PASAR REBO,BOGOR,29,657
RSUD PASAR REBO,DEPOK,21,286
RSUD PASAR REBO,TANGERANG,,
RSUD PASAR REBO,BEKASI,28,611
RSUD KOJA,JAKARTA,82,3646
RSUD KOJA,BOGOR,,
RSUD KOJA,DEPOK,,
RSUD KOJA,TANGERANG,,
RSUD KOJA,BEKASI,98,1970
RS PONDOK INDAH,JAKARTA,30,1259
RS PONDOK INDAH,BOGOR,29,1704
RS PONDOK INDAH,DEPOK,,
RS PONDOK INDAH,TANGERANG,0,0
RS PONDOK INDAH,BEKASI,,
RSUD BUDHI ASIH,JAKARTA,,
RSUD BUDHI ASIH,BOGOR,62,1211
RSUD BUDHI ASIH,DEPOK,,
RSUD BUDHI ASIH,TANGERANG,,
RSUD BUDHI ASIH,BEKASI,22,315
R S C M,JAKARTA,62,3358
R S C M,BOGOR,73,3682
R S C M,DEPOK,49,3353
R S C M,TANGERANG,72,2150
R S C M,BEKASI,81,5888
P M I,JAKARTA,0,0
P M I,BOGOR,,
P M I,DEPOK,23,656
P M I,TANGERANG,,
P M I,BEKASI,26,569
