type_operasi,area_operasi,jumlah_bus,jumlah_penumpang
RSUD CENGKARENG,JAKARTA,119,6517
RSUD CENGKARENG,BOGOR,,
RSUD CENGKARENG,DEPOK,29,800
RSUD CENGKARENG,TANGERANG,79,1603
RSUD CENGKARENG,BEKASI,26,347
RSUD DUREN SAWIT,JAKARTA,124,4457
RSUD DUREN SAWIT,BOGOR,,
RSUD DUREN SAWIT,DEPOK,,
RSUD DUREN SAWIT,TANGERANG,,
RSUD DUREN SAWIT,BEKASI,,
RSUD PASAR MINGGU,JAKARTA,,
RSUD PASAR MINGGU,BOGOR,18,141
RSUD PASAR MINGGU,DEPOK,15,206
RSUD PASAR MINGGU,TANGERANG,,
RSUD PASAR MINGGU,BEKASI,23,219
RSUD TARAKAN,JAKARTA,,
RSUD TARAKAN,BOGOR,31,1817
RSUD TARAKAN,DEPOK,31,1566
RSUD TARAKAN,TANGERANG,51,2921
RSUD TARAKAN,BEKASI,61,2198
RSUD PASAR REBO,JAKARTA,,
RSUD PASAR REBO,BOGOR,27,708
RSUD PASAR REBO,DEPOK,13,189
RSUD PASAR REBO,TANGERANG,9,86
RSUD PASAR REBO,BEKASI,30,558
RSUD KOJA,JAKARTA,84,4437
RSUD KOJA,BOGOR,,
RSUD KOJA,DEPOK,,
RSUD KOJA,TANGERANG,,
RSUD KOJA,BEKASI,101,2057
RS PONDOK INDAH,JAKARTA,31,1621
RS PONDOK INDAH,BOGOR,31,1920
RS PONDOK INDAH,DEPOK,,
RS PONDOK INDAH,TANGERANG,0,0
RS PONDOK INDAH,BEKASI,,
RSUD BUDHI ASIH,JAKARTA,,
RSUD BUDHI ASIH,BOGOR,70,1139
RSUD BUDHI ASIH,DEPOK,,
RSUD BUDHI ASIH,TANGERANG,,
RSUD BUDHI ASIH,BEKASI,24,329
R S C M,JAKARTA,106,7268
R S C M,BOGOR,89,3890
R S C M,DEPOK,59,3840
R S C M,TANGERANG,81,2320
R S C M,BEKASI,92,6658
P M I,JAKARTA,27,177
P M I,BOGOR,,
P M I,DEPOK,30,677
P M I,TANGERANG,,
P M I,BEKASI,51,953
RSUD JATI PADANG,JAKARTA,93,1151
PUSKESMAS MAMPANG PRAPATAN,JAKARTA,,
PUSKESMAS PANCORAN,JAKARTA,,
PUSKESMAS CILANDAK,JAKARTA,,
PUSKESMAS TEBET,JAKARTA,,
PUSKESMAS KUNINGAN  BARAT,JAKARTA,,
PUSKESMAS KEBAYORAN BARU,JAKARTA,,
PUSKESMAS KEBAYORAN LAMA,JAKARTA,,
SUDINKES JAKARTA SELATAN,JAKARTA,,
RSUP PERSAHABATAN,JAKARTA,22,538
RSUP PERSAHABATAN,BOGOR,44,907
RSUP PERSAHABATAN,DEPOK,22,599
RSUP PERSAHABATAN,TANGERANG,,
RSUP PERSAHABATAN,BEKASI,47,1816
RS JANTUNG HARAPAN KITA,BOGOR,30,708
RS JANTUNG HARAPAN KITA,TANGERANG,,
RS JANTUNG HARAPAN KITA,BEKASI,22,1049
RSPI SULIANTI SAROSO,JAKARTA,92,5142
RSUP FATMAWATI,JAKARTA,31,2956
Puskesmas Kramat Jati ,RS Wisma Atlet,1,11
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,13
Puskesmas Duren Sawit,RS Wisma Atlet,1,15
Puskesmas Ciracas,RS Wisma Atlet,1,29
Puskesmas Cilincing,RS Wisma Atlet,1,13
Puskesmas Kemayoran,RS Wisma Atlet,1,11
Puskesmas Pasar Minggu,RS Wisma Atlet,1,17
Puskesmas Duren Sawit Tahap II,RS Wisma Atlet,1,7
Puskesmas Pancoran,RS Wisma Atlet,1,14
Puskesmas Rawabadak Selatan,RS Wisma Atlet,1,11
Puskesmas Duren Sawit,RS Wisma Atlet,1,6
Puskesmas Cengkareng,RS Wisma Atlet,1,10
Puskesmas Kebayoran Lama,RS Wisma Atlet,1,8
Puskesmas Jagakarsa,RS Wisma Atlet,1,21
Puskesmas Tebet,RS Wisma Atlet,1,13
Puskesmas Pasar Minggu,RS Wisma Atlet,1,17
Puskesmas Pancoran,RS Wisma Atlet,1,15
