nama_kegiatan,lokasi,volume_panjang,satuan_panjang,volume_luas,satuan_luas
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 1 (Trotoar Kawasan Stasiun Palmerah dan Sekitarnya),Jl. Tentara Pelajar,700,meter,3030,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 1 (Trotoar Kawasan Stasiun Palmerah dan Sekitarnya),Jl. Palmerah Selatan,170,meter,480,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. Pos,180,meter,440,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. Lapangan Banteng Utara,230,meter,850,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. Katedral,240,meter,1100,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. Medan Merdeka Utara,250,meter,770,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. Veteran 1,750,meter,3200,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. Perwira,930,meter,5000,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. Lap. Banteng & Katedral (arah Juanda),330,meter,3650,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Pusat Paket 2 (Trotoar Kawasan Mesjid Istiqlal dan sekitarnya),Jl. H. Juanda,220,meter,1100,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 1 (Kawasan Kota Tua dan sekitarnya),Jl. Lodan,200,meter,460,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 1 (Kawasan Kota Tua dan sekitarnya),Jl. Kerapu,350,meter,850,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 1 (Kawasan Kota Tua dan sekitarnya),Jl. Tongkol,870,meter,2620,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 1 (Kawasan Kota Tua dan sekitarnya),Jl. Kakap,510,meter,1250,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 1 (Kawasan Kota Tua dan sekitarnya),Jl. Inspeksi Kali Krukut,370,meter,1470,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 1 (Kawasan Kota Tua dan sekitarnya),Jl. Pakin,570,meter,1430,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 1 (Kawasan Kota Tua dan sekitarnya),Jl. Ekor Kuning,620,meter,1240,meter persegi
Pembangunan Trotoar dan Bangunan Pelengkap Jalan Jakarta Utara Paket 2 (Jl. Danau Sunter Selatan dan sekitarnya),Jl. Danau Sunter Selatan,1990,meter,9160,meter persegi
