nama_terminal_bus,jenis_terminal,tipe_terminal,luas_m²,tahun_pembangunan,alamat
Blok M,Dalam Kota,B,9000,1992,"Jl. Hasanudin, Jak - Sel"
Cililitan,Dalam Kota,B,6000,1998,"Jl. Dewi Sartika, Jak - Tim"
Grogol,Dalam Kota,B,14283,1969,"Jl. Kyai Tapa, Jak - Bar"
Kalideres,Antar Kota,A,35344,1985,"Jl. Raya Daan Mogot, Jak - Bar"
Kampung Melayu,Dalam Kota,B,2500,1968,"Jl. Jatinegara, Jak - Tim"
Kampung Rambutan,Antar Kota,A,228200,1992,"Jl. Letjen TB. Simatupang, Jak - Tim"
Klender,Dalam Kota,B,2047,1981,"Jl. Teratai Putih, Jak - Tim"
Lebak Bulus,Antar Kota dan Dalam Kota,A,20000,1990,"Jl. Raya Pasar Jum'at, Jak - Sel"
Manggarai,Dalam Kota,B,1021,1985,"Jl. Manggarai, Jak - Sel"
Muara Angke,Dalam Kota,B,1783,1989,"Jl. Raya Muara Angke, Jak - Utara"
Pasar Minggu,Dalam Kota,B,7816,1989,"Jl. Raya Pasar Minggu, Jak - Sel"
Pinang Ranti,Dalam Kota,B,2948,1995,"Jl. Pondok Gede, Jak - Tim"
Pulo Gadung / TMB,Dalam Kota / TMB,B,35196,1976,"Jl. Raya Bekasi, Jak - Tim"
Ragunan ,Dalam Kota,B,3456,1991,"Jl. Harsono RM, Jak - Sel"
Rawamangun,Dalam Kota,B,11958,1972,"Jl. Perserikatan No. 1, Jak - Tim"
Senen,Dalam Kota,B,8917,1980,"Jl Gunung Sahari, Jak - Pus"
Tanjung Priok,Dalam Kota,B,10963,1967,"Jl. Enggano, Jak - Utara"
Rawa Buaya ,Terminal Mobil Barang,,90000,2015,"Jl. Rawa Buaya, Jak - Bar"
Tanah Merdeka,Terminal Mobil Barang,,50000,1992,"Jl. Raya Cilincing No. 1, Jak - Utara"
Pulo Gebang ,Terminal Mobil Barang,,19240,,"Jl. Raya Pulo Gebang, Jak - Tim"
