jenis_angkutan,nama_perusahaan,jumlah_kendaraan
Bus Kota,PERUM PPD,282.0
Bus Kota,PT. MAYASARI BAKTI,698.0
Bus Kota,PT. BIANGLALA METROPOLITAN,41.0
Bus Kota,PT. SINAR JAYA MEGAH LANGGENG,89.0
Bus Kota,PT. DAYA SENTOSA UTAMA,23.0
Bus Kota,PT. JASA UTAMA,54.0
Bus Kota,PT. KODA JAYA/ AJA PUTRA,131.0
Bus Kota,PT. STEADY SAFE,12.0
Bus Kota,PT. ARH,13.0
Bus Kota,PT. METROMINI (BUS BESAR),15.0
APTB,PERUM PPD,25.0
APTB,PT. MAYASARI BAKTI,65.0
APTB,PT. BIANGLALA METROPOLITAN,15.0
APTB,PT. SINAR JAYA MEGAH LANGGENG,40.0
APTB,PT. HIBA UTAMA,10.0
APTB,PT. ANUGERAH MAS,38.0
Transjakarta Busway,"PT. JAKARTA MEGA TRANS
 (KOR.5, 7)",59.0
Transjakarta Busway,"PT. JAKARTA TRANS METROPOLITAN
 (KOR.4, 6)",61.0
Transjakarta Busway,"PT. TRANSBATAVIA
 (KOR.2, 3)",124.0
Transjakarta Busway,"PT. PRIMAJASA PERDANARAYA UTAMA
 (KOR.4, 6)",40.0
Transjakarta Busway,"PT. TRANSMAYAPADA BUSWAY
 (KOR.9, 10)",57.0
Transjakarta Busway,"PT. EKA SARI LORENA TRANSPORT
 (KOR.5, 7)",47.0
Transjakarta Busway,"PT. BIANGLALA METROPOLITAN
 (KOR.9, 10, 12,BW-AMARI)",146.0
Transjakarta Busway,"PERUM DAMRI
 (KOR.1, 8, 11)",87.0
Transjakarta Busway,"UPTJ
 (KOR.9,BW02-EXP,BW03-EXP,BW,BEKAS JET)",238.0
Bus Sedang,PT. METROMINI,1672.0
Bus Sedang,KOPAJA,1109.0
Bus Sedang,JEWA DIAN MITRA,20.0
Bus Sedang,KOANTAS BIMA,168.0
Bus Sedang,KOPAMI JAYA,156.0
Bus Kecil,MIKROLET,6423.0
Bus Kecil,KWK/ APK,6011.0
Bus Kecil,A P B,1095.0
