bulan,koridor_1,koridor_2,koridor_3,koridor_4,koridor_5,koridor_6,koridor_7,koridor_8,koridor_9,koridor_10,koridor_11,koridor_12,satuan
Januari,2036623.0,665218.0,666393.0,578927.0,807529.0,662383.0,842772.0,732442.0,1133175.0,446471.0,253517.0,140269.0,orang
Februari,1947688.0,610960.0,644793.0,555340.0,762391.0,633189.0,787537.0,695846.0,1109297.0,426829.0,233942.0,120474.0,orang
Maret,2328593.0,765731.0,817823.0,609844.0,967225.0,717969.0,916240.0,823245.0,1278417.0,510282.0,280374.0,141892.0,orang
April ,2209974.0,718592.0,781176.0,590378.0,927079.0,710258.0,839851.0,778293.0,1193865.0,490579.0,276694.0,142781.0,orang
Mei,2229224.0,728957.0,820856.0,611038.0,941860.0,708311.0,860075.0,808566.0,1196796.0,506429.0,280554.0,150075.0,orang
Juni,2319793.0,791688.0,868772.0,628081.0,958922.0,730827.0,877310.0,831225.0,1190266.0,507379.0,294806.0,149354.0,orang
Juli,1890136.0,666463.0,729787.0,514621.0,795652.0,604116.0,734324.0,705000.0,966490.0,414208.0,258240.0,114680.0,orang
Agustus ,1936163.0,685488.0,791520.0,583506.0,828667.0,779854.0,806333.0,794825.0,1241558.0,451237.0,256613.0,122021.0,orang
September,1929276.0,688065.0,819507.0,642130.0,819429.0,817163.0,797860.0,851946.0,1259158.0,467462.0,249962.0,129482.0,orang
Oktober,1870592.0,692145.0,804291.0,635097.0,817405.0,760805.0,824216.0,874264.0,1336806.0,475920.0,251444.0,121817.0,orang
November,1967331.0,634107.0,710833.0,604768.0,782287.0,721749.0,774877.0,737485.0,1165895.0,462917.0,245985.0,118841.0,orang
Desember,1479335.0,454891.0,478418.0,432500.0,539518.0,518475.0,544208.0,556272.0,874370.0,323043.0,173756.0,87937.0,orang
