wilayah,lokasi,penyebab_kemacetan,upaya_penanganan,tindak_lanjut
Jakarta Selatan,Jl. Arteri Pondok Indah,"Jalan sempit, lalu lintas padat, angkutan umum ngetem",Menempatkan petugas operasional untuk melakukan pegendalian dan pengaturan lalu lintas di sekitar lokasi rawan kemacetan,Melakukan manajemen lalu lintas di lokasi rawan macet dan dipersimpangan jalan: perbaikan simpang dan pelebaran jalan
Jakarta Selatan,Jl. Mampang Prapatan,"Jalan sempit, lalu lintas padat, angkutan umum ngetem",Melakukan tindakan korektif dengan cara  melakukan pengawasan bergerak (patroli mobil) di setiap wilayah rawan macet dan persimpangan jalan,Pengembangan jaringan jalan yang ada secara bertahap: seperti pelebaran jalan yang diakibatkan oleh penyempitan jalan (bottle neck)
Jakarta Selatan,Jl. Raya Pasar Minggu,"Jalan sempit, lalu lintas padat, angkutan umum ngetem",Sewaktu-waktu melakukan operasi penertiban gabungan (terpadu) dengan instansi terkait,Meningkatkan disiplin berlalu lintas pengemudi dan pengguna jalan dengan menegakan hukum
Jakarta Selatan,Jl. Rasuna Said,"Jalan sempit, lalu lintas padat, angkutan umum ngetem",Melengkapi sarana dan prasarana yang dibutuhkan guna menunjang tugas operasional di lapangan,Meningkatkan disiplin berlalu lintas pengemudi dan pengguna jalan dengan menegakan hukum
Jakarta Selatan,Hatonun,"Jalan sempit, lalu lintas padat, angkutan umum ngetem","Memberikan bimbingan dan penyuluhan kepada pengusaha angkutan umum, awak kendaraan umum, pengemudi kendaraan bermotor dan pengguna jalan",
Jakarta Selatan,Jl. Dr. Saharjo,Parkir di jalan,,
Jakarta Selatan,Jl. Raya Ciledug,,,
Jakarta Selatan,Jl. Gatot Subroto,,,
Jakarta Selatan,Jl. Sisingamangaraja,,,
Jakarta Selatan,Jl. Satrio,,,
Jakarta Selatan,Jl. Kebayoran Lama,,,
Jakarta Timur,Jl. Raya Bekasi,"Lalin padat  akses dari daerah penyangga msk ke Jakart, akses ke Terminal Pulogadung, bottle neck, banyak intersection 1 traffic light",Menempatkan petugas operasional untuk melakukan pegendalian dan pengaturan lalu lintas di sekitar lokasi rawan kemacetan,"Melakukan manajemen lalu lintas di lokasi rawan macet dan di persimpangan jalar, perbaikan geometrik simpang dan manajemen lalu lintas pada ruas jalan"
Jakarta Timur,Jl. Kalimalang,Lalui padat akses dan daerah penyangga masuk ke Jakarta banyak intersection 1 traffic light akses perumahan,Melakukan tindakan korektif dgn cara melakukan pengawasan bergerak (patroli mobil) di setiap wilayah rawan macet,"Pengembangan jaringan jalan yang ada secara bertahap pelebaran jalan, manajemen dan rekayasa lalu lintas"
Jakarta Timur,Jl. Raya Bogor,"Jalan sempit, lalu lintas padat",Sewaktu-waktu melakukan operasi penertiban gabungan (terpadu) dengan instansi terkait,Pengembangan jaringan jalan yang ada secara bertahap
Jakarta Timur,Jl. Mayjend Sutoyo,"Jalan sempit, lalu lintas padat",Melengkapi sarana dan prasarana yang dibutuhkan guna menunjang tugas operasional di lapangan,"Meningkatkan disiplin berlalu lintas pengemudi dan pengguna jalan, penegakan hukum dan bimbingan penyuluhan lalu lintas"
Jakarta Timur,"Jl. Perintis Kemerdekaan simpang, Jl.
Pulo roas dan Jl. Kelapa Gading","Lalu lintas padat, angkutan umum ngetem, intersection / traffic Iight","Memberikan bimbingan dan penyuluhan kepada pengusaha angkutan umum, awak kendaraan umum, pengemudi kendaraan bermotor dan pengguna jalan","Meningkatkan upaya penegakan hukum  terhadap pelanggaran lalu lintas  tilang stop operasi, penguraian ban dan penderekan kendaraan, pengandangan kendaraan "
Jakarta Timur,Jl. I Gusti Ngurah Rai,"Jalan sempit, lalu lintas padat, angkutan umum ngetem",,
Jakarta Timur,Jl. UT. Haryono,"Jalan sempit, lalu lintas padat, angkutan umum ngetem",,
Jakarta Timur,Jl. Otista,"Jalan sempit, lalu lintas padat, angkutan umum ngetem",,
Jakarta Timur,Jl. Stasiun Jatinegara,,,
Jakarta Timur,Jl. Jatiwaringin,,,
Jakarta Pusat,Jl. Salemba Raya,Lalu lintas padat dan Parkir On Street,Menempatkan  petugas operasional untuk melakukan pengendalian dan pengaturan lalu lintas di sekitar lokasi rawan kemacetan,Melakukan manajemen lalu lintas di lokasi rawan macet dan dipersimpangan Jalan dan Rekayasa Lalu Lintas
