koridor,panjang_lintasan_km,jumlah_halte,jpo,pelican_(lokasi),sky_walk_(lokasi),penghubung,keterangan
Blok M - Kota,12.9,14,11,3,,,Dibangun Tahun 2003
Pulo Gadung - Harmoni,14.3,22,12,10,,,Dibangun Tahun 2004 & 2005 
Kalideres - Harmoni,18.7,13,12,1,,,Dibangun Tahun 2004 & 2005
Pulo Gadung - Dukuh Atas,11.85,16,10,5,2,Koridor 1 & 10,Dibangun Tahun 2006
Kampung Melayu - Ancol,15.5,17,14,2,2,Koridor 2 dan 4,Dibangun Tahun 2006
Ragunan - Kuningan,13.3,18,15,3,,,Dibangun Tahun 2006
Kampung Rambutan - Kampung Melayu,12.8,13,9,4,,,Dibangun Tahun 2006
Lebak Bulus - Harmoni,24,19,13,7,1,Koridor 3 & 9,Dibangun Tahun 2008
Pinang Ranti - Pluit,28.45,23,16,7,2,Koridor 1 & 6,Dibangun Tahun 2008
Cililitan - Tanjung Priok,18,18,15,3,1,Koridor 2,Dibangun Tahun 2008
Pulo Gebang - Kampung Melayu,11.35,14,14,1,2,Koridor 5 & 10 ,Dibangun Tahun 2011
Pluit - Tanjung Priok,23.75,13,11,2,,,Dibangun Tahun 2012
Ekstension Pulo Gadung - Bekasi,16.16,7,7,,,,Dibangun Tahun 2013
