type_rute,rute,lintasan_reguler_zonasi,sekolah_yang_dilintasi,jumlah_bus,jumlah_ritase_perhari,shift_1,shift_2,shift_3,km_ritase
Reguler,LP  BANTENG–PERINTIS KEMERDEKAAN,"Jl. LapanganBanteng – Jl. Kathedral – Jl. pos – Jl. Dr sutomo – JL.garuda – Jl. Gempol – Jl. Jiung – Jl. Dakota- Jl. Sunterjaya ( berputar masuk Jl. bendungan jago SMKN 54 )-  Jiung -  JL. Harapan Mulia – Simpang Galur – Jl. LetjenSoeprapto -  Jl. Perintis  Kemerdekaan  (putarbalik ASMI). Jl. Letjen Soeprapto – Simpang Galur – Harapan Mulia  - Jiung –  Kemayoran Gempol -  Jl. Garuda, Jl. Bungur Besar, Jl. Gunung Sahari 3 – Jl. Gunung Sahari Raya  - Jl. Budi Utomo – Jl. Lap Banteng.","SMKN 01 – SMA 01- SMKN 27 – SMA Santa Ursula – SMA Penabur- SMA Saint John – SMA Taman Siswa – SMK 01/11/SMA 02 Muhammadiyah – SMKN 03 – SMA/SMK Kanaan – SMKN 21 -  SLM Makna Bakti – SMKN 54 – SMA Taman Madya 01 – SMA Almudat Siriyah – SMA Kartini Nusantara – SMA Pengunas -  SMAN 77 -  SMK Tekstil – SMK Bahariwan 45  -  SMP Santa Ursula – SMPN 04 – SMPN 05 - SMPN  93 – SMP Budi Mulia Vanlit – SMP Muhammadfiyah 1/2/27 – SMP PGRI 38 – SMP Pami – SMPN 79 – SMPN 228 – SMPN 59 – MTS Cempaka Sari – SMP Harapan – SMPN 269 – SMPN 78 – SMP Pengunas – SMPN 77 – SMPN 119 -  SMP Hang Tuah  - SD Strada – SD Penabur – SD Budi Mulia Vanlit – SDN 01/02 Gn Sahari Slt – SDN 01/03/08/09/ 14/15/16/17 Kemayoran – SD Taman Siswa – SD Kanaan – SD Sandika – SD Muhammadiyah – SDN 01 s.d 17 Kebon Kosong – SDN 07 s.d 12 Serdang – SDN 01/04 Utn Panjang – SD Almudat Siriyah – SD Harapan – SDN 01/04 Galur – SDN 03/03/19/20/27 Cmpk Pth Brt – SDN 01 s.d 7 Cmpk Baru .                                                         
 (23 SMA/SMK , 19 SMP/MTS, 30 SD)",5,5,1,3,1,24
Reguler,PLUMPANG– SUNTER-KEMAYORAN,Plumpang – Jl. Yos Sudarso  Putar Balik Kodamar – Jl. YosSudarso – Jl. Danau Sunter  Utara -  Jl. Danau Sunter  Barat – Jl. Danau Sunter  Selatan Berputar di depan danau  - Jl. Danau Sunter  Selatan -  Jl. Danau Sunter  Jaya 1  - Sunter  Jaya -  – Serdang Bendungan jago  - Jiung – JL. Harapan Mulia ( putar balik jembatan harapan mulia alfa mart ) – Jiung – Benjamin sueb  -  Jl Dakota – Jl. Danau Sunter  Selatan – Danau Sunter  barat – berputar di Jembatan hitam SMAN  41 – Jl. Danau Sunter  Barat – Jl. Danau  Sunter  Utara -  Jl. Yos Sudarso – Plumpang,"SMKN 54 – SMA Taman Madya 01 – SMA Almudat Siriyah – SMA  Jubilee School Int,l – SMAN 41 – SMA/SMK St Lukas – SMA 15 – SMA Ipeka Str -  SMAN 80 -  SMA/SMA Kencana – SMK Gn Jati – SMK Cendekia – SMK Hang Tuah 01 - MTS Cempaka Sari - – SMPN 79 – SMPN 228 – SMP Paulus – SMP Nurul Huda – SMP Santa Cicilia – SMPN 140 – SMPN 116 – SMP Ipeka Str – SMPN 221 – SMPN 65 – SMP Kencana – SMP Gn Jati - SDN 01 s.d 17 Kebon Kosong – SDN 07 s.d 12 Serdang - – SDN 01/04 Utn Panjang – SDN  01 s.d 13 Str Agung -  SD Santa Cicilia -  SD Nurul Falah – SD Jembatan Baru .                                                                                                                              
(15  SMA/SMK, 14 SMP/MTS , 43 SD/MI)  ",5,5,1,3,1,29
Reguler,TMII - HEK - GANDARIA,TMII pintu II-JL. Raya Pondok Gede-Pasar Rebu-JL Raya Bogor – Gandaria (PP),"SMK Ceger Budaya  -  SMK Nurul Hijrah – SMK Mahadika – MAN 06 -  SMAN 48 -  SMA/SMK Uswantun Hasanah – SMA Trisoko  -  SMAN 62  - SMA Widya Manggala -  SMA Islam -  SMA/SMK Ignatius Slamet Riyadi -  SMA Darma Bakti -  SMK Mardi Bakti – SMA/SMK Pangudi Rahayu – SMK Paskita Globel – SMK Mahadika 4 – SMA/SMK Malahayati – SMK Farmasi – SMK /SMA Dira – SMK/SMA Budiwarman 2 – MAN 14 -  SMK Yasmin -  SMK Karya Darma. - SMP Ceger Budaya  - SMP 222 -  SMPN 263 – SMP Wijaya Kusuma -  SMP Uswatun Hasanah  - SMP Trisoko -  SMPN 20 -  SMPN 24 – SMP Widya Mangala -  SMP Kartika – SMP Pangudi Rahayu – SMPN 251 -  SMP Dira – SMP Kandipura – SMPN 184 -  SMP Yasmin -  SMP Karya Darma -  SMPN 91 - SDN 01/03 Ceger – SD Islam -  SDN 01 s.d 14 Pinang Ranti – SDN 01 s.d 09 Dukuh – SDN 19/26 Kramatjati -  SD Kartika – SDN 03 Tengah – SDN 01 s.d 09 Susukan – SD Kartika -  SDN 01 s.d 09 Gedong –SD Pangudi Rahayu – SDN 01 s.d 10 Cijantung  - SDN 01/02 Ciracas -  SDN 01 s.d 10 Ps Rebo – SDN 01 s.d 14  Pekayon  - SD  Yasmin                                                                                                                                                                                                 (29 SMA/SMK, 18 SMP/MTS, 80 SD/MI)",5,5,1,3,1,24
Reguler,PERINTIS KEMERDEKAAN – PDK KOPI,Jl. Perintis  Kemerdekaan (Pool BBG)  -  Jl. Bekasi Raya – Jl. Penggilingan Raya – Jl. Sentra  Primer  Walikota Timur – Jl. Pulogebang – Terminal Barang Pulogebang  putar balik – Jl. Pulo Gebang – Jl. Sentra Primer Walikota Timur – Jl. Penggilingan Raya – Jl. Bekasi Raya – Jl. Perintis  Kemerdekaan  (Pool BBG),"SMK Ristek Kikin – SMAN 11 – SMA/SMK YP IPPI – SMK Kalpataru – SMA Bakti Mulia – SMK Karya Ekopin -  SMA/SMK Cikra – SMK Caraka Nusantara -  MA Al Adawiyah -  SMK Surya Saleh -  SMK Mercusuar – SMK Perbankan Nasional – SMK  Gita Wisata -  SMK Bina  karya Utama – SMA YPIA – SMK Bisnis Indonesia -  SMK AL Akhyar – SMK Cakung  Yayasan Nurrahman – SMK Dinamika Pembangunan -  SMA AL Wathoniyah – SMA 11 Maret -  SMKN 17 -  SMA Patriot – SMAN 45 – SMK Jaya – SMA Villa mas – MA AL Kenaniyah - SMP Muhammadiyah – MTSN 24 – SMP Harapan – SMP Kebangsaan – MTS At Tahiriyah  - SMP AL Azhar – SMPN 236 – SMPN 138 – SMP YP IPPI – SMP Miftahul Huda – SMP Harapan Bunda -  MTS AL Adawiyah – SMPN 193 – SMP AL Islah – SMP YPIA -  SMP 168  -  SMPN 144 – MTS Al Wathoniyah  16 – SMP Patriot – SMPN 123 –  SMP Islamic School Gholidiyah – SMP Villa mas -  MTS AL Kenaniyah - SDN 01 s.d  21 Pulo Gebang -  SD AL Azhar – SDN 01 s.d 10 Penggilingan -  MI AL Asmaniyah – Mi Al Huda -  MI 44 Al Wathoniyah – MI Darussyfa – SD Bina Siswa -  SD Miftahul Huda -  SD Harapan Bunda -  SDN 01 s.d 20 Ujung Menteng  SDN 01 s.d Cakung Brt – SD Al Wathoniyah- SD Atina -  SDN 01 s.d 09 Pulo Gadung -  SDN 01 s.d 06 Kelapa Gading Tmr -  SD Islam.                                                                                                                                                                                                                            ( 29 SMA/SMK,  23 SMP/MTS, 65 SD/MI)",8,5,1,3,1,26
Reguler,KP MELAYU – TMII - CEGER,Putaran Ps Jatinegara Polres Jaktim  -  Term Kp Melayu -  Jl. Otistaraya – Jl. Dewi Sartika – Cililitan -  Jl. Raya Bogor – JlPondok Gede raya -  Jl Taman Mini 1 – Putaran Mabes Cilangkap  -  Jltaman Mini 1 – Jl. Pondok Gede Raya – Jl Raya Bogor  –  Cililitan – Jl. Dewi Sartika – Jl. Otista Raya – Term  KpMelayu – Putaran Pasar Jatinegara Polres Jaktim,"SMK Ceger Budaya  -  SMK Nurul Hijrah – SMK Mahadika – MAN 06 -  SMAN 48 -  SMA/SMK Uswantun Hasanah – SMA Trisoko -  SMAN 62  - SMA Budiwarman  - SMK 1/2  Respati – SMK Rahayu Mulya – SMA Santo Markus – SMK 10 Nov -  SMK Pelayaran – SMA 14 -  SMA Muh 04 -  SMKN Jak Tim – SMK Cipta Karya – SMA Dewi Sartika – SMA/SMK Cahaya Sakti – SMA Berkat -  SMAN 54 - SMP Ceger Budaya  - SMP 222 -  SMPN 263 – SMP Wijaya Kusuma -  SMP Uswatun Hasanah  - SMP Trisoko -  SMPN 20 -  SMPN 24 – MTS  AL Ihsanayah – SMP Budiwarman – SMPN 281 – SMPN 150 – SMPN 50 – SMP Santo Markus – SMP Marsudirini -  SMP Muh 04  - SMP St Vintensius – SMP Al Qalam -  SMP Krisna – SMP Assalafi – SMP Dewi Sartika – SMPN 62 -  SMP Santa Fatima – SMPN 14 – SMP Merdeka – SMP Kartika –SMPN 26. - SDN 01/03 Ceger – SD Islam -  SDN 01 s.d 14 Pinang Ranti – SDN 01 s.d 09 Dukuh – SDN 01 s.d 27 Kramatjati - SD Kartika – SDN 01/02/03 Tengah – MI AL Ihsanayah – SD Islam Al Ihsan – SD Santo markus -  SD Muh 04 – SD AL Iklas – SAN 01 s.d 14 Cawang – SD Muh 2 – SD St Vintensius – SDN 03/04 Bidara Cina -  SD Cahaya Sakti -  SDN 05/06 Cipinang Cimpedak -  SDN 04 Bali Mester – SD Santa Fatima -  SD Kartika                                                                                                                 ( 29 SMA/SMK, 24 SMP/MTS, 85 SD/MI)",8,5,1,3,1,26
Reguler,PASAR MINGGU - BUNCIT - KEBAYORAN,Poltangan – Terminal Pasar Minggu – JL. Raya Ragunan – JL. Mangga Besar – JL. Warung Buncit – JL. Mampang Prapatan – JL. Tendean – JL. Gunawarman –JL. Senopati – JL. Tendean – Putar Trans TV – JL. Mampang Prapatan – JL. Warung Buncit – JL. Mangga Besar – JL. Raya Ragunan – Terminal Pasar Minggu – Poltangan.,"SMA/SMK Bunda Kandung – SMK Yapinda – SMK Pembangunan jaya – SMKN Suluh – SMA/SMK Bakti Tugas -  SMKN 25 -  SMAN 28  - SMKN 47 – SMA Fatahilah – SMA Sultan Hasanudin – SMAN 60 – SMK Kemang Jaya -  SMA Sa’adatuddarain – SMK Budi Satria -  SMA Darussaada – SMKN 06  - SMKN 29 -  SMKN 15 – SMA AL Azhar  - SMA/SMK Purnama - SMP Kemala Bayangkari – SMP Bakti Tugas – SMP Suluh  - MTS As Salam -  SMP Strada -  SMP Sultan Hasanudin  - SMP Baitul Rahman -  SMPN 238 – SMPN 124 – SMPN 104 – SMPN 247 – SMPN 141 -  SMPN 43 – MTS Mutaalimin – SMP Tarakanita – SMPN 13 -  SMP PDRI 32 -  SDN 01/04 Pejaten Tmr –SDN 01 s.d 06  Ps Minggu – SD Bakti Tugas -  MI As Salam  - SDN 01/04 Jati Padang  -  SD Al Ikhlas -  SD Strada  - SDN 01/02/03 Pejaten Brt -  Mi Fatahilah  -  SDN 06 s.d 15 Duren Tiga -  SDN 01 s.d 08 Tegal Parang -  SDN 02 Mampang Prapatan – SD Mulya Jaya -  MI Mutaalimin -  SD Tarakanita 2 – SD 01 Rawa Brt – SDN 01/04 Selong                                                                                                                                                                                                                
(23 SMA/SMK, 17 SMP/MTS, 40 SD/MI)",5,4,1,3,1,25
Reguler,PS  MINGGU –  RANCHO -LT AGUNG- UI,"Term Ps Minggu – Jl. Tanjung Barat Lama (poltangan) – JlRanco  - JlTanjung Barat – JlLentengAgung -  Universitas Indonesia  putar balik -  JL. lentengAgung -  Jl, Rawa Bambu – Term Ps Minggu.","SMA/SMK Bunda Kandung – SMK Yapinda – SMK Pembangunan jaya – SMKN Suluh – SMA/SMK Bakti Tugas – SMK Kahuripan -  SMK/SMA Karimaswita – SMK Wisata Indonesia – SMK Lenteng Agung -  SMK Wijaya Kusuma – SMAN 38 – MAN 13 – SMA YPM -  SMKN 62 – SMA Amaliyah SMAN 109. - SMP Kemala Bayangkari – SMP Bakti Tugas – SMP Suluh – SMP Jayakarta -  SMPN 239 – SMPN 242 – SMP YPM – SMPN 276  - SMP Amaliyah . - SDN 01/04/ Pejaten Tmr –SDN 01 s.d 06  Ps Minggu – SD Bakti Tugas – SDN 01 s.d 10 Tanjung Brt -  SD 03 Kebagusan -  SD Teladan -  MI Nurul Janah – SD/MI Madarajut Thalibin -  SD Masnunniyah – SDN 01 s.d 12 Lenteng Agung – MI Wijaya Kusuma -  SDN 01 s.d 13 Srengseng Sawah .                                                             ( 19 SMA/SMK, 19 SMP/MTS,  50 SD/MI)",5,5,1,3,1,20
Reguler,PS MINGGU–PANCORAN-MANGGARAI,Poltangan – Jl. Tanjung Barat lama - Term Ps Minggu – Jl Ps Minggu Raya – Pancoran – Jl Prof DrSupomo – Jl. Dr Sahardjo -  Jl. Minangkabau Raya -  Jl Sultan Agung Raya – Term Manggarai – Jl. Tambak –   Putar Balik Kolong  Fly Over  Matraman  – Term manggarai  - Jl. Dr. Sahardjo – Jl. Prof.  Dr. supomo  –   Pancoran  -  Jl. Pasar Minggu Raya – terminal Ps MInggu  -  Poltangan.,"SMA/SMK Bunda Kandung – SMK Yapinda – SMK Pembangunan jaya – SMKN Suluh – SMA/SMK Bakti Tugas – SMK PS Minggu -  SMK Wali Sanga – SMK Karya Teladan – SMA ST  Alexander – SMAN 55 -  SMK Cyber Medika – SMK PGRI 33 – SMA Dewi Sartika -  SMA ST Frans Asisi -  SMAN 26 -  SMK Budi Asih -  SMKN 16 – SMK Karya Guna – SMK  Saudara -  SMK Pelita  - SMA YMIK - SMP Kemala Bayangkari – SMP Bakti Tugas – SMP Suluh – SMP PS Minggu – MTS AT Tahiriyah – SMPN 227 -  SMPN 182 – MTS fatimatul Amin – SMP Yas Porbi – SMPN 15  - SMP Adik Irma – SMP Dewi Sartika -  SMPN 67 - SDN 01/04/ 11/12 Pejaten Tmr –SDN 01 s.d 14  Ps Minggu – SD Bakti Tugas – MI AT Tahiriyah SDN  01 s.d 12 Kalibata -  SDN 01 s.d 12 Duren Tiga -  SDN 01/02 Pancoran – MI/SD Al Falah  -  SDN 01 s.d 08 Menteng Dalam – SD YAS PORBI – SD Adik Irma – SD Dewi Sartika -  SDN 01 s.d 07 Tebet Brt – SD Indriyasa -  SD ST Frans Asisi  - MI Darut Quran -  SDN 01 s.d 20 Menteng Atas -  SDN Manggarai 01 s.d 08 -  SD Budi Asih.                                                                                                                         (23 SMA/SMK, 13 SMP/MTS, 85, SD/MI)",6,4,1,3,1,24
Reguler,CILINCING -  PERINTIS KEMERDEKAAN  (POOL BBG),Jl. Yos Sudarso – JL. Simpang Plumpang – Putar Balik Polres Jakarta Utara ((permai) – JL. Simpang Permai -  Jl. Raya Plumpang Semper  -  Simpang Semper – JL. Tugu Kramat Jaya – JL. Jempea  - Jl. Raya Cakung Cilincing  -  Putar Balik Depan SMAN 73 – JL. Tugu Kramat Jaya – Simpang Semper – Jl. Raya Plumpang Semper – Jl Yos Sudarso – Perintis Kemerdekaan - Putar Balik ASMI.,"SMA Don Bosco -  SMK Tekstil -  SMAN 72 – SMA 12/ SMK 38 PGRI -  SMK Hann Tuah 1 – SMK Cendikia – SMA Wijaya  - SMA /SMK AL Islamiyah – SMK Bahariwan 45 -  MA AL Kenaniyah -  SMA/SMK Kencana -  SMK Pernas -  SMK Darma Putra – SMK Yapenda – SMA/SMK Wiyata Mandala – SMK Gn Jati -  SMAN 13 -  SMAN 06 -  SMAN 110 – SMK Sejahtera -  SMK Walang Jaya – SMA AR Rasyidyyah – SMK Strada – SMK Nusantara -  SMAN 52 – SMA /SMK Sari Putra -  SMK Tanjung Priuk – SMA/SMK ET Labora – SMK Pelayaran Jalasena – SMA Marsudirini  - SMA/SMK Dikantara3 – SMA AL Kairiyah 2 -  SMAN 73  - SMA Nurul falah. - SMP Hang Tuah 3 – SMP Islam -  MTS AL Kenaniyah -  SMP Kencana  - SMP Wiyata Mandala -  SMP Darma Putra – SMP Pernas -  SMP Wiyata Mandala -  SMP Gn Jati – SMPN 277 – SMP Unwanus Saadah – SMP Fikri -  smpn 136 -  SMP Sejahtera – SMPN 151 – SMP ASH Solihin -  SMP Barunawati – SMPN 14 -  SMP Strada -  MTS AL Hidayah -  SMPN 231  - SMP Nusantara – SMP Dikantara 3 –SMP Nurul Falah – SMP HANG Tuah 01 -  SMP Darul Ma’arif .- SD Don Bosco – SD AT Taufik -  SD Hang Tuah 6 -  SD Jembatan Baru –SD Amanah – SD Islam – MI AL Kenaniyah -  SD Nurul Falah – SDN 01 s.d 19 Kebon Bawang -  SD Bethel – SDN 01 s.d 19 Rawa Badak Slt – SD ASH Solihin – SD Barunawati -   SD AR Rasyidyyah – SDN 01 s.d 21 Tugu Utr – SDN 01/04 Tugu Slt – MI AL Hidayah -  SDN 01/02 Semper -  SDN 01 s.d 10 Semper Brt – SDN 01 s.d 10 Lagoa – SD Marsudirini  - SD Hang Tuah 3 .                                                                                                                                                                                           ( 42 SMA/SMK, 26 SMP/MTS, 81 SD/MI)",3,4,1,3,1,28
Reguler,KP MELAYU –  SALEMBA -  LP BANTENG,Terminal Kp Melayu – Jl Jatinegara Barat -  Jl Matraman Raya – Jl Salemba Raya – Jl Kramat Raya – Jl Senen Raya – Jl Kwini II – Jl Abd Rachman Saleh- Jl Pejambon – Jl Medan Merdeka Timur – Jl Perwira – Jl Lapangan banteng – Jl Pos – Jl Budi Utomo – Jl Gunung sahari raya (Putar depan Armabar) – Jl Gunung Sahari I -  Jl Stasiun Senen – Jl Kramat Raya - Jl Salemba Raya - Jl Matraman Raya – Jl Jatinegara Timur – Terminal Kp Melayu.,"SD/SMA Berkat – SDN 04 Bali Mester – SMAN 54 – SMPN 62 – SD/SMP Santa Fatima – SMPN 14 – SMP Merdeka -  SDN 01/02 Bali Mester – SMPN 26 – SD Kwitang PSKD 03 –SMP/SMA PSKD 02 – SDN 7/9 Kebon Manggis – SMAN 68 – SD/SMA Perguruan Salemba – SMPN 216 – SD Trisula – SMKN 34 – SMK PGRI 7 – SDN 08/09 Kramat – SMA St Frans 1 – SMK Frans 2 – SA/ SMK Sint Joseph – SDN 01/06 Kenari – SD Muhammadiyah 02 – SMP Muhammadiyah 03 – SMA Muhammadiyah 01 – SDN 03 Senen – SMA PSKD Kwini – SMKN 02 Jakarta – SMAN 04 – SMPN 04 – SD/SMA Strada – SD/SMA  Penabur 03 –                                                                 SD/SMP Budi Mulia Vanlit – SMK Rasera 66.       (48 SD, SMP, SMA Sederajat)                                                                                                                                                                                                                                                            ",5,5,1,3,1,20
