tahun,wilayah_administrasi,garis_kemiskinan
2006,Kepulauan Seribu,279600
2006,Jakarta Selatan,276626
2006,Jakarta Timur,232826
2006,Jakarta Pusat,218777
2006,Jakarta Barat,204125
2006,Jakarta Utara,224708
2007,Kepulauan Seribu,292173
2007,Jakarta Selatan,293628
2007,Jakarta Timur,248622
2007,Jakarta Pusat,230452
2007,Jakarta Barat,232735
2007,Jakarta Utara,240830
2008,Kepulauan Seribu,314358
2008,Jakarta Selatan,334173
2008,Jakarta Timur,303390
2008,Jakarta Pusat,262251
2008,Jakarta Barat,275759
2008,Jakarta Utara,292656
2009,Kepulauan Seribu,345933
2009,Jakarta Selatan,372659
2009,Jakarta Timur,305674
2009,Jakarta Pusat,322184
2009,Jakarta Barat,300134
2009,Jakarta Utara,296947
2010,Kepulauan Seribu,368913
2010,Jakarta Selatan,397415
2010,Jakarta Timur,325980
2010,Jakarta Pusat,343587
2010,Jakarta Barat,320072
2010,Jakarta Utara,316673
2011,Kepulauan Seribu,393717
2011,Jakarta Selatan,430345
2011,Jakarta Timur,352614
2011,Jakarta Pusat,370897
2011,Jakarta Barat,347449
2011,Jakarta Utara,344089
2012,Kepulauan Seribu,423179
2012,Jakarta Selatan,466817
2012,Jakarta Timur,366674
2012,Jakarta Pusat,402570
2012,Jakarta Barat,362363
2012,Jakarta Utara,364359
2013,Kepulauan Seribu,455049
2013,Jakarta Selatan,507665
2013,Jakarta Timur,381984
2013,Jakarta Pusat,436869
2013,Jakarta Barat,377884
2013,Jakarta Utara,387901
