tahun,wilayah_administrasi,indeks
2006,Kepulauan Seribu,2.19
2006,Jakarta Selatan,0.61
2006,Jakarta Timur,0.6
2006,Jakarta Pusat,0.7
2006,Jakarta Barat,0.69
2006,Jakarta Utara,1.22
2007,Kepulauan Seribu,2.48
2007,Jakarta Selatan,0.81
2007,Jakarta Timur,0.65
2007,Jakarta Pusat,1.01
2007,Jakarta Barat,0.44
2007,Jakarta Utara,0.12
2008,Kepulauan Seribu,2.05
2008,Jakarta Selatan,0.64
2008,Jakarta Timur,0.48
2008,Jakarta Pusat,0.44
2008,Jakarta Barat,0.49
2008,Jakarta Utara,0.87
2009,Kepulauan Seribu,1.71
2009,Jakarta Selatan,0.43
2009,Jakarta Timur,0.49
2009,Jakarta Pusat,67
2009,Jakarta Barat,0.36
2009,Jakarta Utara,0.85
2010,Kepulauan Seribu,0.97
2010,Jakarta Selatan,0.67
2010,Jakarta Timur,0.41
2010,Jakarta Pusat,0.86
2010,Jakarta Barat,0.62
2010,Jakarta Utara,0.92
2011,Kepulauan Seribu,1.1
2011,Jakarta Selatan,0.3
2011,Jakarta Timur,0.36
2011,Jakarta Pusat,0.49
2011,Jakarta Barat,0.48
2011,Jakarta Utara,0.68
2012,Kepulauan Seribu,1.52
2012,Jakarta Selatan,0.51
2012,Jakarta Timur,0.36
2012,Jakarta Pusat,0.63
2012,Jakarta Barat,0.36
2012,Jakarta Utara,0.98
2013,Kepulauan Seribu,0.34
2013,Jakarta Selatan,0.41
2013,Jakarta Timur,0.45
2013,Jakarta Pusat,0.41
2013,Jakarta Barat,0.52
2013,Jakarta Utara,0.69
