tahun,provinsi,klasifikasi,persentase
2013,Aceh,P0,17.72
2013,Aceh,P1,3.20
2013,Aceh,P2,0.83
2013,Sumatera Utara,P0,10.39
2013,Sumatera Utara,P1,1.72
2013,Sumatera Utara,P2,0.46
2013,Sumatera Barat,P0,7.56
2013,Sumatera Barat,P1,1.27
2013,Sumatera Barat,P2,0.30
2013,Riau,P0,8.42
2013,Riau,P1,1.18
2013,Riau,P2,0.24
2013,Jambi,P0,8.41
2013,Jambi,P1,1.12
2013,Jambi,P2,0.26
2013,Sumatera Selatan,P0,14.06
2013,Sumatera Selatan,P1,2.49
2013,Sumatera Selatan,P2,0.73
2013,Bengkulu,P0,17.75
2013,Bengkulu,P1,3.24
2013,Bengkulu,P2,0.89
2013,Lampung,P0,14.39
2013,Lampung,P1,2.23
2013,Lampung,P2,0.59
2013,Kepulauan Bangka Belitung,P0,5.25
2013,Kepulauan Bangka Belitung,P1,0.62
2013,Kepulauan Bangka Belitung,P2,0.12
2013,Kepulauan Riau,P0,6.35
2013,Kepulauan Riau,P1,1.02
2013,Kepulauan Riau,P2,0.26
2013,DKI Jakarta,P0,3.72
2013,DKI Jakarta,P1,0.39
2013,DKI Jakarta,P2,0.07
2013,Jawa Barat,P0,9.61
2013,Jawa Barat,P1,1.65
2013,Jawa Barat,P2,0.44
2013,Jawa Tengah ,P0,14.44
2013,Jawa Tengah ,P1,2.37
2013,Jawa Tengah ,P2,0.59
2013,DI Yogyakarta,P0,15.03
2013,DI Yogyakarta,P1,2.13
2013,DI Yogyakarta,P2,0.46
2013,Jawa Timur,P0,12.73
2013,Jawa Timur,P1,2.07
2013,Jawa Timur,P2,0.50
2013,Banten,P0,5.89
2013,Banten,P1,1.02
2013,Banten,P2,0.29
2013,Bali,P0,4.49
2013,Bali,P1,0.70
2013,Bali,P2,0.16
2013,Nusa Tenggara Barat,P0,17.25
2013,Nusa Tenggara Barat,P1,2.72
2013,Nusa Tenggara Barat,P2,0.66
2013,Nusa Tenggara Timur,P0,20.24
2013,Nusa Tenggara Timur,P1,3.04
2013,Nusa Tenggara Timur,P2,0.69
2013,Kalimantan Barat,P0,8.74
2013,Kalimantan Barat,P1,1.30
2013,Kalimantan Barat,P2,0.32
2013,Kalimantan Tengah ,P0,6.23
2013,Kalimantan Tengah ,P1,1.02
2013,Kalimantan Tengah ,P2,0.30
2013,Kalimantan Selatan,P0,4.76
2013,Kalimantan Selatan,P1,0.61
2013,Kalimantan Selatan,P2,0.11
2013,Kalimantan Timur,P0,6.38
2013,Kalimantan Timur,P1,1.25
2013,Kalimantan Timur,P2,0.39
2013,Sulawesi Utara,P0,8.50
2013,Sulawesi Utara,P1,1.16
2013,Sulawesi Utara,P2,0.28
2013,Sulawesi Tengah,P0,14.32
2013,Sulawesi Tengah,P1,2.28
2013,Sulawesi Tengah,P2,0.53
2013,Sulawesi Selatan,P0,10.32
2013,Sulawesi Selatan,P1,1.65
2013,Sulawesi Selatan,P2,0.40
2013,Sulawesi Tenggara,P0,13.73
2013,Sulawesi Tenggara,P1,1.83
2013,Sulawesi Tenggara,P2,0.43
2013,Gorontalo,P0,18.00
2013,Gorontalo,P1,3.22
2013,Gorontalo,P2,0.85
2013,Sulawesi Barat,P0,12.23
2013,Sulawesi Barat,P1,1.30
2013,Sulawesi Barat,P2,0.27
2013,Maluku,P0,19.27
2013,Maluku,P1,3.52
2013,Maluku,P2,0.93
2013,Maluku Utara,P0,7.64
2013,Maluku Utara,P1,0.89
2013,Maluku Utara,P2,0.16
2013,Papua Barat,P0,27.14
2013,Papua Barat,P1,5.89
2013,Papua Barat,P2,1.84
2013,Papua,P0,31.52
2013,Papua,P1,6.56
2013,Papua,P2,2.01
2014,Aceh,P0,16.98
2014,Aceh,P1,3.14
2014,Aceh,P2,0.86
2014,Sumatera Utara,P0,9.85
2014,Sumatera Utara,P1,1.71
2014,Sumatera Utara,P2,0.45
2014,Sumatera Barat,P0,6.89
2014,Sumatera Barat,P1,0.75
2014,Sumatera Barat,P2,0.15
2014,Riau,P0,7.99
2014,Riau,P1,1.20
2014,Riau,P2,0.29
2014,Jambi,P0,8.39
2014,Jambi,P1,1.12
2014,Jambi,P2,0.23
2014,Sumatera Selatan,P0,13.62
2014,Sumatera Selatan,P1,2.41
2014,Sumatera Selatan,P2,0.62
2014,Bengkulu,P0,17.09
2014,Bengkulu,P1,2.85
2014,Bengkulu,P2,0.75
2014,Lampung,P0,14.21
2014,Lampung,P1,2.30
2014,Lampung,P2,0.56
2014,Kepulauan Bangka Belitung,P0,4.97
2014,Kepulauan Bangka Belitung,P1,0.60
2014,Kepulauan Bangka Belitung,P2,0.12
2014,Kepulauan Riau,P0,6.40
2014,Kepulauan Riau,P1,0.74
2014,Kepulauan Riau,P2,0.18
2014,DKI Jakarta,P0,4.09
2014,DKI Jakarta,P1,0.60
2014,DKI Jakarta,P2,0.13
2014,Jawa Barat,P0,9.18
2014,Jawa Barat,P1,1.39
2014,Jawa Barat,P2,0.33
2014,Jawa Tengah ,P0,13.58
2014,Jawa Tengah ,P1,2.09
2014,Jawa Tengah ,P2,0.51
2014,DI Yogyakarta,P0,14.55
2014,DI Yogyakarta,P1,2.35
2014,DI Yogyakarta,P2,0.61
2014,Jawa Timur,P0,12.28
2014,Jawa Timur,P1,1.86
2014,Jawa Timur,P2,0.45
2014,Banten,P0,5.51
2014,Banten,P1,0.79
2014,Banten,P2,0.18
2014,Bali,P0,4.76
2014,Bali,P1,0.86
2014,Bali,P2,0.26
2014,Nusa Tenggara Barat,P0,17.05
2014,Nusa Tenggara Barat,P1,2.92
2014,Nusa Tenggara Barat,P2,0.72
2014,Nusa Tenggara Timur,P0,19.60
2014,Nusa Tenggara Timur,P1,3.25
2014,Nusa Tenggara Timur,P2,0.79
2014,Kalimantan Barat,P0,8.07
2014,Kalimantan Barat,P1,1.26
2014,Kalimantan Barat,P2,0.35
2014,Kalimantan Tengah ,P0,6.07
2014,Kalimantan Tengah ,P1,0.97
2014,Kalimantan Tengah ,P2,0.25
2014,Kalimantan Selatan,P0,4.81
2014,Kalimantan Selatan,P1,0.65
2014,Kalimantan Selatan,P2,0.15
2014,Kalimantan Timur,P0,6.31
2014,Kalimantan Timur,P1,0.79
2014,Kalimantan Timur,P2,0.18
2014,Sulawesi Utara,P0,8.26
2014,Sulawesi Utara,P1,1.28
2014,Sulawesi Utara,P2,0.30
2014,Sulawesi Tengah,P0,13.61
2014,Sulawesi Tengah,P1,2.11
2014,Sulawesi Tengah,P2,0.55
2014,Sulawesi Selatan,P0,9.54
2014,Sulawesi Selatan,P1,1.41
2014,Sulawesi Selatan,P2,0.32
2014,Sulawesi Tenggara,P0,12.77
2014,Sulawesi Tenggara,P1,2.09
2014,Sulawesi Tenggara,P2,0.52
2014,Gorontalo,P0,17.41
2014,Gorontalo,P1,3.13
2014,Gorontalo,P2,0.83
2014,Sulawesi Barat,P0,12.05
2014,Sulawesi Barat,P1,1.94
2014,Sulawesi Barat,P2,0.51
2014,Maluku,P0,18.44
2014,Maluku,P1,4.11
2014,Maluku,P2,1.37
2014,Maluku Utara,P0,7.41
2014,Maluku Utara,P1,1.16
2014,Maluku Utara,P2,0.24
2014,Papua Barat,P0,26.26
2014,Papua Barat,P1,5.92
2014,Papua Barat,P2,1.88
2014,Papua,P0,27.80
2014,Papua,P1,6.42
2014,Papua,P2,2.18
