tahun,bulan,wilayah,jumlah_rumah_tangga_miskin,jumlah_keluarga_miskin,jenis_penanganan_kemiskinan,jumlah
2018,06,Wilayah Jakarta Pusat,38121,40629,Bpnt Rumah Tangga,21273
2018,06,Wilayah Jakarta Utara,75408,78578,Bpnt Rumah Tangga,53756
2018,06,Wilayah Jakarta Barat,59366,63175,Bpnt Rumah Tangga,46716
2018,06,Wilayah Jakarta Selatan,55187,59625,Bpnt Rumah Tangga,39776
2018,06,Wilayah Jakarta Timur,78608,82611,Bpnt Rumah Tangga,51427
2018,06,Kepulauan Seribu,1851,2153,Bpnt Rumah Tangga,    
2018,06,Wilayah Jakarta Pusat,38121,40629,Rastra Rumah Tangga,    
2018,06,Wilayah Jakarta Utara,75408,78578,Rastra Rumah Tangga,    
2018,06,Wilayah Jakarta Barat,59366,63175,Rastra Rumah Tangga,    
2018,06,Wilayah Jakarta Selatan,55187,59625,Rastra Rumah Tangga,    
2018,06,Wilayah Jakarta Timur,78608,82611,Rastra Rumah Tangga,    
2018,06,Kepulauan Seribu,1851,2153,Rastra Rumah Tangga,1301
2018,06,Wilayah Jakarta Pusat,38121,40629,Pkh Rumah Tangga,5916
2018,06,Wilayah Jakarta Utara,75408,78578,Pkh Rumah Tangga,9937
2018,06,Wilayah Jakarta Barat,59366,63175,Pkh Rumah Tangga,10985
2018,06,Wilayah Jakarta Selatan,55187,59625,Pkh Rumah Tangga,1017
2018,06,Wilayah Jakarta Timur,78608,82611,Pkh Rumah Tangga,1387
2018,06,Kepulauan Seribu,1851,2153,Pkh Rumah Tangga,545
2018,06,Wilayah Jakarta Pusat,38121,40629,Aslut Jiwa,222
2018,06,Wilayah Jakarta Utara,75408,78578,Aslut Jiwa,255
2018,06,Wilayah Jakarta Barat,59366,63175,Aslut Jiwa,279
2018,06,Wilayah Jakarta Selatan,55187,59625,Aslut Jiwa,207
2018,06,Wilayah Jakarta Timur,78608,82611,Aslut Jiwa,237
2018,06,Kepulauan Seribu,1851,2153,Aslut Jiwa,50
2018,06,Wilayah Jakarta Pusat,38121,40629,Tasa Jiwa,118
2018,06,Wilayah Jakarta Utara,75408,78578,Tasa Jiwa,168
2018,06,Wilayah Jakarta Barat,59366,63175,Tasa Jiwa,116
2018,06,Wilayah Jakarta Selatan,55187,59625,Tasa Jiwa,315
2018,06,Wilayah Jakarta Timur,78608,82611,Tasa Jiwa,402
2018,06,Kepulauan Seribu,1851,2153,Tasa Jiwa,    
2018,06,Wilayah Jakarta Pusat,38121,40629,Apbd Jiwa,79
2018,06,Wilayah Jakarta Utara,75408,78578,Apbd Jiwa,208
2018,06,Wilayah Jakarta Barat,59366,63175,Apbd Jiwa,264
2018,06,Wilayah Jakarta Selatan,55187,59625,Apbd Jiwa,114
2018,06,Wilayah Jakarta Timur,78608,82611,Apbd Jiwa,73
2018,06,Kepulauan Seribu,1851,2153,Apbd Jiwa,16
