tahun,bulan,program,indikator,kegiatan,jumlah,satuan
2019,06,Program Rehabilitasi Sosial,Persentase (%) PMKS yang terpenuhi hak dasarnya,Pemberian Bantuan Kemandirian Usaha Ekonomi Produktif (UEP) bagi eks Warga Binaan Sosial (WBS) Panti Sosial,80,Orang
2019,06,Program Rehabilitasi Sosial,Persentase (%) PMKS yang terpenuhi hak dasarnya,Pelatihan Kemandirian Usaha Ekonomi Produktif (UEP) Bagi Lansia Potensial,75,orang
2019,06,Program Rehabilitasi Sosial,Persentase (%) PMKS yang terpenuhi hak dasarnya,Pelatihan Kemandirian Usaha Ekonomi Produktif (UEP) Bagi Penyandang Disabilitas,50,Orang
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,Pembinaan dan Pemantapan Pengelola e warong dan KUBE Jasa,253,Orang
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,Pendampingan Usaha Ekonomi Produktif (UEP) / Kelompok Usaha Bersama (KUBE) Keluarga Fakir Miskin,190,Orang
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,TOT Pengembangan Kualitas SDM Pendamping PKH,15,Orang
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,Pendampingan Program Rastra dan Bantuan  Pangan Non Tunai (BPNT),267,Orang
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,Bantuan  Pangan Non Tunai (BPNT),176387,kpm
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,Program Keluarga Harapan (PKH),62113,kpm
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,Pemenuhan Kebutuhan Dasar bagi Lansia (KLJ),40419,Orang
2019,06,Program Penanganan Fakir Miskin,Jumlah fakir miskin (perorangan,Pemenuhan Kebutuhan Dasar bagi Penyandang Disabilitas,7137,Orang
