tahun,nama_kabkota,indeks
2006,Kepulauan Seribu,"0,44"
2006,Jakarta Selatan,"0,16"
2006,Jakarta Timur,"0,16"
2006,Jakarta Pusat,"0,14"
2006,Jakarta Barat,"0,17"
2006,Jakarta Utara,"0,31"
2007,Kepulauan Seribu,"0,53"
2007,Jakarta Selatan,"0,27"
2007,Jakarta Timur,"0,17"
2007,Jakarta Pusat,"0,31"
2007,Jakarta Barat,"0,08"
2007,Jakarta Utara,"0,28"
2008,Kepulauan Seribu,"0,44"
2008,Jakarta Selatan,"0,15"
2008,Jakarta Timur,"0,12"
2008,Jakarta Pusat,"0,09"
2008,Jakarta Barat,"0,1"
2008,Jakarta Utara,"0,2"
2009,Kepulauan Seribu,"0,42"
2009,Jakarta Selatan,"0,09"
2009,Jakarta Timur,"0,11"
2009,Jakarta Pusat,"0,19"
2009,Jakarta Barat,"0,06"
2009,Jakarta Utara,"0,25"
2010,Kepulauan Seribu,"0,17"
2010,Jakarta Selatan,"0,18"
2010,Jakarta Timur,"0,07"
2010,Jakarta Pusat,"0,31"
2010,Jakarta Barat,"0,18"
2010,Jakarta Utara,"0,26"
