tahun,indikator_kemiskinan,satuan,nilai
2006,"Jumlah Penduduk Miskin","Ribu Orang",407.1
2007,"Jumlah Penduduk Miskin","Ribu Orang",405.7
2008,"Jumlah Penduduk Miskin","Ribu Orang",379.6
2009,"Jumlah Penduduk Miskin","Ribu Orang",323.2
2010,"Jumlah Penduduk Miskin","Ribu Orang",312.2
2011,"Jumlah Penduduk Miskin","Ribu Orang",363.4
2012,"Jumlah Penduduk Miskin","Ribu Orang",363.2
2006,"Persentase Penduduk Miskin","Persen",4.6
2007,"Persentase Penduduk Miskin","Persen",4.5
2008,"Persentase Penduduk Miskin","Persen",4.28
2009,"Persentase Penduduk Miskin","Persen",3.62
2010,"Persentase Penduduk Miskin","Persen",3.48
2011,"Persentase Penduduk Miskin","Persen",3.75
2012,"Persentase Penduduk Miskin","Persen",3.69
2006,"Indeks Kedalaman Kemiskinan (P1)","Skala",.75
2007,"Indeks Kedalaman Kemiskinan (P1)","Skala",.59
2008,"Indeks Kedalaman Kemiskinan (P1)","Skala",.58
2009,"Indeks Kedalaman Kemiskinan (P1)","Skala",.57
2010,"Indeks Kedalaman Kemiskinan (P1)","Skala",.45
2011,"Indeks Kedalaman Kemiskinan (P1)","Skala",.6
2012,"Indeks Kedalaman Kemiskinan (P1)","Skala",.5
2006,"Indeks Keparahan Kemiskinan (P2)","Skala",.19
2007,"Indeks Keparahan Kemiskinan (P2)","Skala",.12
2008,"Indeks Keparahan Kemiskinan (P2)","Skala",.13
2009,"Indeks Keparahan Kemiskinan (P2)","Skala",.14
2010,"Indeks Keparahan Kemiskinan (P2)","Skala",.11
2011,"Indeks Keparahan Kemiskinan (P2)","Skala",.15
2012,"Indeks Keparahan Kemiskinan (P2)","Skala",.13
