tahun,bulan,kelompok_bank,jenis_penggunaan,kriteria_usaha,jumlah
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Modal Kerja,Mikro,3856152
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Modal Kerja,Kecil,8765021
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Modal Kerja,Menengah,16650994
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Investasi,Mikro,1710518
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Investasi,Kecil,2160905
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Investasi,Menengah,3814788
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak Teridentifikasi,Mikro,
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak Teridentifikasi,Kecil,
2015,12,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak Teridentifikasi,Menengah,
2015,12,Bank Swasta Nasional,Modal Kerja,Mikro,1104818
2015,12,Bank Swasta Nasional,Modal Kerja,Kecil,2514851
2015,12,Bank Swasta Nasional,Modal Kerja,Menengah,46594029
2015,12,Bank Swasta Nasional,Investasi,Mikro,9686347
2015,12,Bank Swasta Nasional,Investasi,Kecil,2234489
2015,12,Bank Swasta Nasional,Investasi,Menengah,19088633
2015,12,Bank Swasta Nasional,Tidak Teridentifikasi,Mikro,
2015,12,Bank Swasta Nasional,Tidak Teridentifikasi,Kecil,
2015,12,Bank Swasta Nasional,Tidak Teridentifikasi,Menengah,
2015,12,Bank Asing dan Bank Campuran ,Modal Kerja,Mikro,6368
2015,12,Bank Asing dan Bank Campuran ,Modal Kerja,Kecil,63241
2015,12,Bank Asing dan Bank Campuran ,Modal Kerja,Menengah,1935179
2015,12,Bank Asing dan Bank Campuran ,Investasi,Mikro,1364
2015,12,Bank Asing dan Bank Campuran ,Investasi,Kecil,138251
2015,12,Bank Asing dan Bank Campuran ,Investasi,Menengah,279456
2015,12,Bank Asing dan Bank Campuran ,Tidak Teridentifikasi,Mikro,
2015,12,Bank Asing dan Bank Campuran ,Tidak Teridentifikasi,Kecil,
2015,12,Bank Asing dan Bank Campuran ,Tidak Teridentifikasi,Menengah,
