tahun,bulan,kelompok_bank,jenis_penggunaan,kriteria_usaha,jumlah
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Modal Kerja,Mikro,3841566
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Modal Kerja,Kecil,8038652
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Modal Kerja,Menengah,14950792
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Investasi,Mikro,1731071
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Investasi,Kecil,2146285
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Investasi,Menengah,3813919
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak Teridentifikasi,Mikro,
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak Teridentifikasi,Kecil,
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak Teridentifikasi,Menengah,
2016,Januari,Bank Swasta Nasional,Modal Kerja,Mikro,469985
2016,Januari,Bank Swasta Nasional,Modal Kerja,Kecil,2612551
2016,Januari,Bank Swasta Nasional,Modal Kerja,Menengah,44695883
2016,Januari,Bank Swasta Nasional,Investasi,Mikro,9077459
2016,Januari,Bank Swasta Nasional,Investasi,Kecil,2187465
2016,Januari,Bank Swasta Nasional,Investasi,Menengah,18550510
2016,Januari,Bank Swasta Nasional,Tidak Teridentifikasi,Mikro,
2016,Januari,Bank Swasta Nasional,Tidak Teridentifikasi,Kecil,
2016,Januari,Bank Swasta Nasional,Tidak Teridentifikasi,Menengah,
2016,Januari,Bank Asing dan Bank Campuran ,Modal Kerja,Mikro,8955
2016,Januari,Bank Asing dan Bank Campuran ,Modal Kerja,Kecil,201402
2016,Januari,Bank Asing dan Bank Campuran ,Modal Kerja,Menengah,1893847
2016,Januari,Bank Asing dan Bank Campuran ,Investasi,Mikro,1310
2016,Januari,Bank Asing dan Bank Campuran ,Investasi,Kecil,136416
2016,Januari,Bank Asing dan Bank Campuran ,Investasi,Menengah,272299
2016,Januari,Bank Asing dan Bank Campuran ,Tidak Teridentifikasi,Mikro,
2016,Januari,Bank Asing dan Bank Campuran ,Tidak Teridentifikasi,Kecil,
2016,Januari,Bank Asing dan Bank Campuran ,Tidak Teridentifikasi,Menengah,
