tahun,bulan,kelompok_bank,sektor_ekonomi,jumlah
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,"Pertanian, Peternakan, Kehutanan & Perikanan",1550325
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,Pertambangan dan Penggalian,765368
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,Industri Pengolahan,3404237
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,"Listrik, Gas dan Air Bersih",231990
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,Konstruksi,4179767
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,"Perdagangan, Hotel dan Restoran",16862012
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,Pengangkutan dan Komunikasi,1632986
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,"Keuangan, Real Estate dan Jasa Perusahaan",4949102
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,Jasa-jasa,3382592
2015,Desember,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak teridentifikasi,
2015,Desember,Bank Swasta Nasional,"Pertanian, Peternakan, Kehutanan & Perikanan",648835
2015,Desember,Bank Swasta Nasional,Pertambangan dan Penggalian,799147
2015,Desember,Bank Swasta Nasional,Industri Pengolahan,11325700
2015,Desember,Bank Swasta Nasional,"Listrik, Gas dan Air Bersih",142782
2015,Desember,Bank Swasta Nasional,Konstruksi,4696413
2015,Desember,Bank Swasta Nasional,"Perdagangan, Hotel dan Restoran",34428934
2015,Desember,Bank Swasta Nasional,Pengangkutan dan Komunikasi,4969578
2015,Desember,Bank Swasta Nasional,"Keuangan, Real Estate dan Jasa Perusahaan",11511400
2015,Desember,Bank Swasta Nasional,Jasa-jasa,12700378
2015,Desember,Bank Swasta Nasional,Tidak teridentifikasi,
2015,Desember,Bank Asing dan Bank Campuran ,"Pertanian, Peternakan, Kehutanan & Perikanan",46091
2015,Desember,Bank Asing dan Bank Campuran ,Pertambangan dan Penggalian,27155
2015,Desember,Bank Asing dan Bank Campuran ,Industri Pengolahan,599266
2015,Desember,Bank Asing dan Bank Campuran ,"Listrik, Gas dan Air Bersih",
2015,Desember,Bank Asing dan Bank Campuran ,Konstruksi,79095
2015,Desember,Bank Asing dan Bank Campuran ,"Perdagangan, Hotel dan Restoran",1102014
2015,Desember,Bank Asing dan Bank Campuran ,Pengangkutan dan Komunikasi,58262
2015,Desember,Bank Asing dan Bank Campuran ,"Keuangan, Real Estate dan Jasa Perusahaan",399266
2015,Desember,Bank Asing dan Bank Campuran ,Jasa-jasa,112710
2015,Desember,Bank Asing dan Bank Campuran ,Tidak teridentifikasi,
