tahun,bulan,kelompok_bank,sektor_ekonomi,jumlah
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,"Pertanian, Peternakan, Kehutanan & Perikanan",1507496
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Pertambangan dan Penggalian,749345
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Industri Pengolahan,3183673
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,"Listrik, Gas dan Air Bersih",284699
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Konstruksi,3545331
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,"Perdagangan, Hotel dan Restoran",15975949
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Pengangkutan dan Komunikasi,1588638
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,"Keuangan, Real Estate dan Jasa Perusahaan",4722702
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Jasa-jasa,2964452
2016,Januari,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak teridentifikasi,
2016,Januari,Bank Swasta Nasional,"Pertanian, Peternakan, Kehutanan & Perikanan",651988
2016,Januari,Bank Swasta Nasional,Pertambangan dan Penggalian,652473
2016,Januari,Bank Swasta Nasional,Industri Pengolahan,10161268
2016,Januari,Bank Swasta Nasional,"Listrik, Gas dan Air Bersih",153208
2016,Januari,Bank Swasta Nasional,Konstruksi,4690862
2016,Januari,Bank Swasta Nasional,"Perdagangan, Hotel dan Restoran",33371608
2016,Januari,Bank Swasta Nasional,Pengangkutan dan Komunikasi,4394219
2016,Januari,Bank Swasta Nasional,"Keuangan, Real Estate dan Jasa Perusahaan",11117054
2016,Januari,Bank Swasta Nasional,Jasa-jasa,12401174
2016,Januari,Bank Swasta Nasional,Tidak teridentifikasi,
2016,Januari,Bank Asing dan Bank Campuran ,"Pertanian, Peternakan, Kehutanan & Perikanan",45941
2016,Januari,Bank Asing dan Bank Campuran ,Pertambangan dan Penggalian,27237
2016,Januari,Bank Asing dan Bank Campuran ,Industri Pengolahan,567152
2016,Januari,Bank Asing dan Bank Campuran ,"Listrik, Gas dan Air Bersih",
2016,Januari,Bank Asing dan Bank Campuran ,Konstruksi,72441
2016,Januari,Bank Asing dan Bank Campuran ,"Perdagangan, Hotel dan Restoran",1157920
2016,Januari,Bank Asing dan Bank Campuran ,Pengangkutan dan Komunikasi,54921
2016,Januari,Bank Asing dan Bank Campuran ,"Keuangan, Real Estate dan Jasa Perusahaan",476603
2016,Januari,Bank Asing dan Bank Campuran ,Jasa-jasa,112013
2016,Januari,Bank Asing dan Bank Campuran ,Tidak teridentifikasi,
