tahun,bulan,kelompok_bank,sektor_ekonomi,jumlah
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,"Pertanian, Peternakan, Kehutanan & Perikanan",1600523
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,Pertambangan dan Penggalian,682739
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,Industri Pengolahan,3390065
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,"Listrik, Gas dan Air Bersih",290663
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,Konstruksi,4287479
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,"Perdagangan, Hotel dan Restoran",16550045
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,Pengangkutan dan Komunikasi,1647617
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,"Keuangan, Real Estate dan Jasa Perusahaan",4738178
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,Jasa-jasa,3248908
2015,November,Bank Pemerintah dan Bank Pembangunan Daerah,Tidak teridentifikasi,
2015,November,Bank Swasta Nasional,"Pertanian, Peternakan, Kehutanan & Perikanan",771783
2015,November,Bank Swasta Nasional,Pertambangan dan Penggalian,642974
2015,November,Bank Swasta Nasional,Industri Pengolahan,10373059
2015,November,Bank Swasta Nasional,"Listrik, Gas dan Air Bersih",232460
2015,November,Bank Swasta Nasional,Konstruksi,4928904
2015,November,Bank Swasta Nasional,"Perdagangan, Hotel dan Restoran",33732127
2015,November,Bank Swasta Nasional,Pengangkutan dan Komunikasi,4576439
2015,November,Bank Swasta Nasional,"Keuangan, Real Estate dan Jasa Perusahaan",10053444
2015,November,Bank Swasta Nasional,Jasa-jasa,13239480
2015,November,Bank Swasta Nasional,Tidak teridentifikasi,
2015,November,Bank Asing dan Bank Campuran ,"Pertanian, Peternakan, Kehutanan & Perikanan",20830
2015,November,Bank Asing dan Bank Campuran ,Pertambangan dan Penggalian,27261
2015,November,Bank Asing dan Bank Campuran ,Industri Pengolahan,628962
2015,November,Bank Asing dan Bank Campuran ,"Listrik, Gas dan Air Bersih",
2015,November,Bank Asing dan Bank Campuran ,Konstruksi,80239
2015,November,Bank Asing dan Bank Campuran ,"Perdagangan, Hotel dan Restoran",1139076
2015,November,Bank Asing dan Bank Campuran ,Pengangkutan dan Komunikasi,56505
2015,November,Bank Asing dan Bank Campuran ,"Keuangan, Real Estate dan Jasa Perusahaan",423896
2015,November,Bank Asing dan Bank Campuran ,Jasa-jasa,110631
2015,November,Bank Asing dan Bank Campuran ,Tidak teridentifikasi,
,,,,
,,,,
