tahun,bulan,kota/kabupaten,kriteria_usaha,jumlah
2015,Desember,Jakarta Pusat,Mikro,2800765
2015,Desember,Jakarta Pusat,Kecil,3184927
2015,Desember,Jakarta Pusat,Menengah,23782230
2015,Desember,Jakarta Utara,Mikro,1102416
2015,Desember,Jakarta Utara,Kecil,2584457
2015,Desember,Jakarta Utara,Menengah,18684872
2015,Desember,Jakarta Barat,Mikro,1960138
2015,Desember,Jakarta Barat,Kecil,3298184
2015,Desember,Jakarta Barat,Menengah,21543324
2015,Desember,Jakarta Selatan,Mikro,9422633
2015,Desember,Jakarta Selatan,Kecil,3963087
2015,Desember,Jakarta Selatan,Menengah,18053751
2015,Desember,Jakarta Timur,Mikro,1077230
2015,Desember,Jakarta Timur,Kecil,2843919
2015,Desember,Jakarta Timur,Menengah,6298902
2015,Desember,Kepulauan Seribu,Mikro,2384
2015,Desember,Kepulauan Seribu,Kecil,2184
2015,Desember,Kepulauan Seribu,Menengah,
