tahun,bulan,kota/kabupaten,kriteria_usaha,jumlah
2016,Januari,Jakarta Pusat,Mikro,2788023
2016,Januari,Jakarta Pusat,Kecil,3099019
2016,Januari,Jakarta Pusat,Menengah,22598499
2016,Januari,Jakarta Utara,Mikro,653163
2016,Januari,Jakarta Utara,Kecil,2491191
2016,Januari,Jakarta Utara,Menengah,18144716
2016,Januari,Jakarta Barat,Mikro,1863784
2016,Januari,Jakarta Barat,Kecil,3251571
2016,Januari,Jakarta Barat,Menengah,20879130
2016,Januari,Jakarta Selatan,Mikro,8741596
2016,Januari,Jakarta Selatan,Kecil,3806189
2016,Januari,Jakarta Selatan,Menengah,16700470
2016,Januari,Jakarta Timur,Mikro,1081061
2016,Januari,Jakarta Timur,Kecil,2673672
2016,Januari,Jakarta Timur,Menengah,5854435
2016,Januari,Kepulauan Seribu,Mikro,2718
2016,Januari,Kepulauan Seribu,Kecil,1128
2016,Januari,Kepulauan Seribu,Menengah,
,,,,
,,,,
