tahun,bulan,kota/kabupaten,kriteria_usaha,jumlah
2015,November,Jakarta Pusat,Mikro,2954966
2015,November,Jakarta Pusat,Kecil,3340549
2015,November,Jakarta Pusat,Menengah,23395963
2015,November,Jakarta Utara,Mikro,598126
2015,November,Jakarta Utara,Kecil,2490327
2015,November,Jakarta Utara,Menengah,18652076
2015,November,Jakarta Barat,Mikro,1824661
2015,November,Jakarta Barat,Kecil,3265719
2015,November,Jakarta Barat,Menengah,21160599
2015,November,Jakarta Selatan,Mikro,9357255
2015,November,Jakarta Selatan,Kecil,3375753
2015,November,Jakarta Selatan,Menengah,16375302
2015,November,Jakarta Timur,Mikro,1015034
2015,November,Jakarta Timur,Kecil,3315701
2015,November,Jakarta Timur,Menengah,6350257
2015,November,Kepulauan Seribu,Mikro,115
2015,November,Kepulauan Seribu,Kecil,1885
2015,November,Kepulauan Seribu,Menengah,
