tahun,bulan,kota/kabupaten,jenis_penggunaan,jumlah
2015,Desember,Jakarta Pusat,Modal Kerja,22204478
2015,Desember,Jakarta Pusat,Investasi,7563444
2015,Desember,Jakarta Pusat,Tidak Teridentifikasi,
2015,Desember,Jakarta Utara,Modal Kerja,16871780
2015,Desember,Jakarta Utara,Investasi,5499964
2015,Desember,Jakarta Utara,Tidak Teridentifikasi,
2015,Desember,Jakarta Barat,Modal Kerja,19406611
2015,Desember,Jakarta Barat,Investasi,7395035
2015,Desember,Jakarta Barat,Tidak Teridentifikasi,
2015,Desember,Jakarta Selatan,Modal Kerja,15507065
2015,Desember,Jakarta Selatan,Investasi,15932406
2015,Desember,Jakarta Selatan,Tidak Teridentifikasi,
2015,Desember,Jakarta Timur,Modal Kerja,7497315
2015,Desember,Jakarta Timur,Investasi,2722736
2015,Desember,Jakarta Timur,Tidak Teridentifikasi,
2015,Desember,Kepulauan Seribu,Modal Kerja,3403
2015,Desember,Kepulauan Seribu,Investasi,1165
2015,Desember,Kepulauan Seribu,Tidak Teridentifikasi,
,,,,
