tahun,bulan,kota/kabupaten,jenis_penggunaan,jumlah
2016,Januari,Jakarta Pusat,Modal Kerja,21245568
2016,Januari,Jakarta Pusat,Investasi,7239973
2016,Januari,Jakarta Pusat,Tidak Teridentifikasi,
2016,Januari,Jakarta Utara,Modal Kerja,15937391
2016,Januari,Jakarta Utara,Investasi,5351679
2016,Januari,Jakarta Utara,Tidak Teridentifikasi,
2016,Januari,Jakarta Barat,Modal Kerja,18607300
2016,Januari,Jakarta Barat,Investasi,7387185
2016,Januari,Jakarta Barat,Tidak Teridentifikasi,
2016,Januari,Jakarta Selatan,Modal Kerja,14018065
2016,Januari,Jakarta Selatan,Investasi,15230189
2016,Januari,Jakarta Selatan,Tidak Teridentifikasi,
2016,Januari,Jakarta Timur,Modal Kerja,6902762
2016,Januari,Jakarta Timur,Investasi,2706406
2016,Januari,Jakarta Timur,Tidak Teridentifikasi,
2016,Januari,Kepulauan Seribu,Modal Kerja,2547
2016,Januari,Kepulauan Seribu,Investasi,1299
2016,Januari,Kepulauan Seribu,Tidak Teridentifikasi,
,,,,
