tahun,bulan,kota/kabupaten,jenis_penggunaan,jumlah
2015,November,Jakarta Pusat,Modal Kerja,22192881
2015,November,Jakarta Pusat,Investasi,7498596
2015,November,Jakarta Pusat,Tidak Teridentifikasi,
2015,November,Jakarta Utara,Modal Kerja,16344795
2015,November,Jakarta Utara,Investasi,5395735
2015,November,Jakarta Utara,Tidak Teridentifikasi,
2015,November,Jakarta Barat,Modal Kerja,18981343
2015,November,Jakarta Barat,Investasi,7269636
2015,November,Jakarta Barat,Tidak Teridentifikasi,
2015,November,Jakarta Selatan,Modal Kerja,14509907
2015,November,Jakarta Selatan,Investasi,14598404
2015,November,Jakarta Selatan,Tidak Teridentifikasi,
2015,November,Jakarta Timur,Modal Kerja,7777936
2015,November,Jakarta Timur,Investasi,2903057
2015,November,Jakarta Timur,Tidak Teridentifikasi,
2015,November,Kepulauan Seribu,Modal Kerja,1563
2015,November,Kepulauan Seribu,Investasi,436
2015,November,Kepulauan Seribu,Tidak Teridentifikasi,
,,,,
